logFC	AveExpr	t	P.Value	adj.P.Val	B
12981306	-3.29354588033333	5.3957612605	-11.143545768355	6.07634673435383e-09	0.000398170848808738	9.36548970165275
13200470	-1.62916114633333	4.16996405666667	-9.36329420465448	6.90445778117999e-08	0.00226217654742581	7.58666758011126
13231665	-2.18957220833334	6.66860658283333	-8.40610978317717	2.93611967893901e-07	0.00641326834405051	6.45596299822274
13257346	-2.16320448533333	5.76598494988889	-8.03410778955075	5.3084474712813e-07	0.00869629864745303	5.97961978551281
13193999	-1.635135881	5.7306609415	-7.51047251949874	1.25872708150243e-06	0.0144438018873216	5.2720171955589
13036882	-2.08671974233333	5.34995309333333	-7.48112459391613	1.32253099932745e-06	0.0144438018873216	5.23104308129968
13016235	-2.19557931666667	5.73209415022222	-7.25878291851927	1.9306682308933e-06	0.0180732611191395	4.91600471926811
13036536	-1.54538823133333	4.18745277761111	-7.165069063237	2.26891044296588e-06	0.0185846454383335	4.78076131043682
13030446	-2.19480154066667	5.98281293933333	-6.99094504697547	3.07219152488081e-06	0.0204732310581104	4.52557002612498
13001273	-1.63857575233334	6.864494518	-6.93853436498398	3.36835441181293e-06	0.0204732310581104	4.44776021109623
12997177	-1.78779615433333	7.3349573115	-6.86535772125182	3.83261442430456e-06	0.0204732310581104	4.33834558645799
12951968	-2.17354093433334	5.77818033622222	-6.79030048164241	4.37867620240482e-06	0.0204732310581104	4.22517871560806
13084762	-2.38656170833334	4.63873528377778	-6.78689948814905	4.40526393017779e-06	0.0204732310581104	4.22002831906649
13243304	-1.45702965966667	5.62504587661111	-6.76000661644068	4.62152547253559e-06	0.0204732310581104	4.17923330491278
13079939	1.497123425	6.20478145388889	6.71954353202463	4.96800659092149e-06	0.0204732310581104	4.11762214225131
13198907	-1.19712388	6.42367135405556	-6.71607319097463	4.99895765061907e-06	0.0204732310581104	4.11232510307323
12919721	-1.93891083333333	5.51746831561111	-6.56481006462478	6.56361912263271e-06	0.0209312339638761	3.87945615497074
12933291	-1.93891083333333	5.51746831561111	-6.56481006462478	6.56361912263271e-06	0.0209312339638761	3.87945615497074
12935127	-1.93891083333333	5.51746831561111	-6.56481006462478	6.56361912263271e-06	0.0209312339638761	3.87945615497074
13049894	-1.952621078	6.41815657327778	-6.5346798269695	6.93207257107752e-06	0.0209312339638761	3.8326071575277
13186646	1.82078621266667	6.79019602766667	6.53070988341223	6.98220233349139e-06	0.0209312339638761	3.82642287517644
12994946	-1.58371479266667	8.11900321722222	-6.52098951196563	7.10654527230932e-06	0.0209312339638761	3.81126942659248
13043588	-2.08240076866667	5.79873482883333	-6.47075526289698	7.78692705066468e-06	0.0209312339638761	3.73270194401192
13049641	-1.681902734	6.84855253822222	-6.46073352782528	7.93059465197842e-06	0.0209312339638761	3.7169765206046
13252930	-2.02836922933334	6.53995654077778	-6.45632439628251	7.99467383008031e-06	0.0209312339638761	3.71005261772983
13268678	-2.011179247	6.00816340016667	-6.4214320046741	8.52118161078827e-06	0.0209312339638761	3.65514293349265
13026642	-2.02108500633333	6.11787573866667	-6.33145543821585	1.00522091958553e-05	0.0209312339638761	3.5125964269048
13047187	-2.173275883	5.36049163188889	-6.30400152498008	1.05743473668663e-05	0.0209312339638761	3.46882946102716
13118059	-2.02759882066667	5.97557186638889	-6.29454314722401	1.07607023891122e-05	0.0209312339638761	3.45372143186166
12981326	-1.78738764733333	5.20819107538889	-6.26063960519549	1.14572415472583e-05	0.0209312339638761	3.39944257467968
13050452	-1.12746675233333	5.391374339	-6.25091452109234	1.16655760950699e-05	0.0209312339638761	3.38383711108653
13145464	-1.74925599066667	6.76157720511111	-6.25017270794111	1.16816283474228e-05	0.0209312339638761	3.38264609747569
13041583	-1.63095432733333	6.23394967122222	-6.24934267308294	1.16996168781232e-05	0.0209312339638761	3.38131333000059
13230543	-2.033438028	7.13330877366667	-6.23269336625731	1.20665890508886e-05	0.0209312339638761	3.35455539032031
13082302	-1.53166003133333	5.3425357295	-6.21917688618412	1.2373303408684e-05	0.0209312339638761	3.33279800790669
13055537	-1.30314200533333	8.76605216794444	-6.21820138310744	1.23957506736027e-05	0.0209312339638761	3.33122655644815
12924329	1.70312935766667	7.801399413	6.21552533374083	1.24575467676591e-05	0.0209312339638761	3.3269148482637
12925687	1.70312935766667	7.801399413	6.21552533374083	1.24575467676591e-05	0.0209312339638761	3.3269148482637
12931861	1.70312935766667	7.801399413	6.21552533374083	1.24575467676591e-05	0.0209312339638761	3.3269148482637
13160786	-1.712791192	6.72353528111111	-6.19864966231942	1.28546941809113e-05	0.0210585600071689	3.29969662043371
12977403	-1.7197334	7.12464238844444	-6.13874953424351	1.43739092751573e-05	0.0228234133430379	3.20269883892679
13087989	-1.92014073166667	5.34381675722222	-6.11808012453957	1.49404733530437e-05	0.0228234133430379	3.1690885038445
12953921	-1.53225370166667	5.21287804966667	-6.1058779481429	1.52857890968203e-05	0.0228234133430379	3.14921303144703
13103304	-1.836658353	6.5551872945	-6.0440209173614	1.71683579309973e-05	0.0228234133430379	3.04807407517493
13210470	-1.77480248	5.29909257872222	-6.04368691080763	1.7179152495239e-05	0.0228234133430379	3.04752622426502
13223919	-2.08497339966667	4.09626444533333	-6.0419366924768	1.72358321125593e-05	0.0228234133430379	3.0446551417873
13198659	-1.62286635066667	8.88140262372222	-6.04106959339289	1.72639844114685e-05	0.0228234133430379	3.04323255105427
13044524	-2.43167952066667	5.77634612677778	-6.03973009950793	1.73075679368719e-05	0.0228234133430379	3.04103468759452
13250666	-1.28410454366667	5.306242039	-6.03786264244674	1.73685207026075e-05	0.0228234133430379	3.03797003396485
13141739	-1.44181756666667	7.35592354794444	-6.03644293244961	1.74150083498946e-05	0.0228234133430379	3.03563978156883
13265206	-1.50860135333333	4.24365681433333	-6.01922687120493	1.79891321451414e-05	0.0230954041588024	3.00735531424
12996219	1.33145505066667	7.56412343861111	5.98844028610049	1.90653097360377e-05	0.0230954041588024	2.95665261668707
13157861	-2.01239124633333	6.66005935927778	-5.98337378507449	1.92487204135671e-05	0.0230954041588024	2.94829344539501
13279160	-1.14765032666667	5.19716090911111	-5.97851153875946	1.94264592675307e-05	0.0230954041588024	2.94026726141833
13210455	-1.696983236	8.29713529961111	-5.95845990031352	2.01776329433913e-05	0.0230954041588024	2.90712624754572
13230813	-1.824830399	5.62852545227778	-5.9570445571184	2.02317805203035e-05	0.0230954041588024	2.90478447153642
13063920	-1.28362110466667	8.83694837094444	-5.95193581759602	2.04284860192341e-05	0.0230954041588024	2.89632897182357
13024265	-2.31494125366667	5.0299060495	-5.94417140878732	2.07312527104718e-05	0.0230954041588024	2.88346977881215
13242145	-1.24843766633333	6.02310110494444	-5.93612737078346	2.10498371361824e-05	0.0230954041588024	2.87013694116682
13069955	-1.938865318	7.35171581688889	-5.93369781046635	2.11470554500083e-05	0.0230954041588024	2.86610788568379
13007946	-1.221655498	9.38910637711111	-5.89548732011096	2.27388371137602e-05	0.02442672980968	2.80261326167869
13061398	-1.10578082666667	10.3794084265556	-5.87583399804787	2.36054725034661e-05	0.0249487000355988	2.76986138268052
13206663	-2.15150807833333	6.11428165177778	-5.85626104880295	2.4502650958107e-05	0.025485868444172	2.73718025281292
12953718	-1.96791142533333	7.15285115888889	-5.83174218634849	2.56766624672026e-05	0.0262896927836071	2.6961520962952
12953283	-1.53997287866667	5.79557422411111	-5.80129363606796	2.72162434325443e-05	0.027437323071504	2.64506450331212
13172299	-2.38854636766667	5.03428474644444	-5.79204544447271	2.77025704220637e-05	0.0275044550699544	2.62951757282735
13157859	-1.640236662	4.38409229888889	-5.78121741480281	2.82834392403116e-05	0.0276620478587932	2.61129707695763
13250879	-1.78408547766667	6.11151392483333	-5.73809095405125	3.07251083362327e-05	0.0291151181520659	2.53853813780545
13246716	1.08299550166667	7.71179053144444	5.7302540890854	3.11917490056112e-05	0.0291151181520659	2.52528408724847
13103612	-1.17873533366667	9.25621577327778	-5.72734344565782	3.13669253547088e-05	0.0291151181520659	2.52035894518221
13068035	-1.64674654933333	5.81059828861111	-5.72437856889994	3.15464135758253e-05	0.0291151181520659	2.51534062383754
13190933	-1.19917727833333	6.39727843661111	-5.69279238203962	3.3525943405535e-05	0.0305123336038597	2.46178994477637
13214488	-1.68398712033333	7.14475075038889	-5.67588689606521	3.46378413905872e-05	0.0310163219048818	2.43306256392073
13007405	-1.31431425666667	8.25184086383333	-5.67011182218589	3.50263676742958e-05	0.0310163219048818	2.4232384817602
13278116	1.896013446	6.60523557633333	5.65618689386615	3.59818526099899e-05	0.0314375845043656	2.39952850428798
13147351	-1.47680845566667	6.48853318216667	-5.63434376035091	3.75353639038647e-05	0.0323633858670059	2.36227357463697
13127307	-1.082608593	5.90420930072222	-5.61227760477539	3.91753324877741e-05	0.0330702965150693	2.32456082235303
13234236	-1.77453266433333	5.118841592	-5.60573562938816	3.96756520429682e-05	0.0330702965150693	2.31336516338733
13030520	-1.80706775933333	5.6269366435	-5.60195167605794	3.99680559652012e-05	0.0330702965150693	2.30688635626234
13145560	-1.658564837	5.29321873533333	-5.59674636013608	4.03739427604313e-05	0.0330702965150693	2.29797019987814
13010554	-1.86932107066667	5.05345220944444	-5.58725352567296	4.11251664521877e-05	0.0331605784602394	2.28169889100249
13113867	-1.819819012	5.92123944683333	-5.56253634417109	4.31497852389518e-05	0.0331605784602394	2.23926506008766
13257743	-1.23273147466667	7.67130696511111	-5.55912473874349	4.34372247517356e-05	0.0331605784602394	2.23340050900578
13137707	-1.99980032033333	7.26591405827778	-5.55719379595502	4.36007902014862e-05	0.0331605784602394	2.23008040265533
13020550	-1.44271414666667	4.88365985483333	-5.5571297409778	4.36062270448364e-05	0.0331605784602394	2.22997025499865
13069494	1.60755932166667	4.14521381038889	5.5529336210876	4.39639160003681e-05	0.0331605784602394	2.22275327999783
13020823	-1.319470795	9.15963156961111	-5.55220273958138	4.40265279886587e-05	0.0331605784602394	2.22149594077687
13160428	-1.57216189666667	5.26341949788889	-5.53127703705468	4.58588247944395e-05	0.0333044981480655	2.18546163318867
13211615	-1.37496422333333	6.34156233377778	-5.52539328970502	4.63880900964336e-05	0.0333044981480655	2.17531733916074
12932667	-2.02496144833333	3.97299098266667	-5.51385103762016	4.74447842679589e-05	0.0333044981480655	2.1554013061407
12935679	-2.02496144833333	3.97299098266667	-5.51385103762016	4.74447842679589e-05	0.0333044981480655	2.1554013061407
13036148	-1.19260390266667	4.55993540638889	-5.51331827725627	4.74941551824371e-05	0.0333044981480655	2.15448152930079
13140447	1.41434832433333	6.80190906827778	5.51272653196504	4.75490544898535e-05	0.0333044981480655	2.15345986659477
12962767	-1.48544100733333	6.8384388275	-5.51029483533655	4.77753452862617e-05	0.0333044981480655	2.14926090691977
13039077	1.33780707266667	5.54301086744444	5.46601134921587	5.20968502422622e-05	0.0359347621334206	2.07263228362405
13234929	-2.050628747	5.16765028744444	-5.45875754236068	5.28423496898573e-05	0.0360693071924684	2.06005111047974
13205819	-1.45634708	6.52100542177778	-5.45139227369651	5.36105881621559e-05	0.0362164393926778	2.04726826335741
12928877	1.593156391	3.03301508838889	5.43853211158027	5.49797569752699e-05	0.0364184592482096	2.02492857352915
13185496	1.38111544466667	6.20243410983333	5.43814827177642	5.50211736291776e-05	0.0364184592482096	2.02426140331021
13092726	-1.933586593	4.97038070455556	-5.4297164009954	5.59391557884356e-05	0.0366558100050461	2.00959982839743
13056235	1.090450021	10.9355739098333	5.41895357811117	5.71339440057104e-05	0.0370680503248138	1.99086919849409
