genes,C1,C2,T1,T2
230734,24.48,22.29,19.94,18.1
230737,32.58,52.81,49.34,34.33
230738,32.75,13.37,13.52,12.68
230751,0,0,0.34,0.51
230752,8.45,13.37,9.46,7.78
230753,196.35,402.77,370.03,286.16
230757,11.03,4.8,9.46,6.93
230761,30.69,71.33,59.98,58.01
230766,3.28,0,0,0.51
230767,1.55,2.57,3.72,3.38
230770,9.48,14.75,9.29,9.3
230777,0.34,0,0,0
230779,13.1,27.43,26.87,18.6
230789,47.58,20.75,22.3,27.57
230793,10,11.83,12,11.16
230796,17.58,13.37,13.35,9.13
230801,8.27,6.34,6.59,6.26
230806,2.07,1.71,1.35,1.35
230809,9.48,7.72,8.11,6.93
230815,22.76,19.38,20.11,17.93
230822,13.1,0,0,0
230824,17.41,12,21.12,26.21
230837,7.59,3.94,4.9,4.23
230848,14.83,24.35,27.54,22.49
230857,118.26,77.16,59.98,119.74
230861,71.2,115.91,107.8,85.75
230863,1.21,0,0,0.34
230866,15,15.43,15.38,16.57
230868,0,0.34,3.21,0.51
230872,1.38,7.89,10.81,6.26
230899,0,29.15,17.07,71.37
230903,1.9,8.74,6.25,4.9
230904,2.07,2.06,2.2,0.68
230908,207.04,766.62,634.62,478.62
230917,13.27,26.75,27.37,26.72
230935,49.3,43.38,46.8,61.22
230936,55.16,52.81,50.01,44.31
230959,0,1.89,2.37,1.18
230967,2.41,2.57,3.38,4.4
230971,10.34,17.66,19.43,13.53
230972,22.41,7.54,5.74,9.98
230996,12.24,34.29,23.15,29.93
231002,1.03,1.71,1.69,1.01
231003,4.65,13.55,11.15,12.85
231004,0.69,3.09,1.69,2.88
231014,0,0.34,0.34,0.68
231042,5.86,7.37,4.56,5.58
231050,23.1,12.86,10.81,18.94
231051,15.17,16.8,15.38,13.7
231070,118.43,83.85,61.67,67.82
231086,53.79,50.41,86.68,100.8
231093,1.72,2.4,2.7,4.74
231123,8.27,25.03,15.54,20.46
231125,0,1.03,1.86,0.68
231128,17.58,31.55,46.13,32.81
231130,2.41,0.34,1.18,0.51
231147,4.31,1.37,1.35,3.38
231148,1.03,0,0.34,0
231151,14.83,19.2,10.81,22.16
231162,0,1.54,0.84,4.9
231207,18.1,5.32,3.55,8.12
231214,5.34,20.06,16.73,18.1
231225,16.2,8.92,7.6,8.96
231238,3.96,3.09,1.69,5.07
231253,0.52,0,0,0.34
231279,9.83,30.01,28.89,22.49
231287,12.24,7.03,10.14,10.99
231290,0,2.06,1.01,1.52
231293,0.34,0,0,0
231326,0.34,2.57,0.84,0.68
231327,15.34,35.49,25.51,27.57
231329,83.78,150.55,144.63,123.8
231380,13.96,7.89,6.08,5.41
231386,33.79,56.24,57.45,49.05
231413,36.89,66.7,77.72,63.59
231430,18.96,16.46,12.84,13.7
231440,46.72,4.8,5.91,3.72
231452,28.79,36.01,30.41,26.21
231464,3.96,2.57,4.06,1.35
231470,0.34,21.43,21.63,26.04
231474,0.86,1.54,0.34,0.85
231503,0.34,1.54,1.18,2.03
231506,4.48,11.15,12,6.93
231507,694.73,4.97,3.89,11.16
231510,15.86,0,0.34,0.51
231532,0.34,2.06,1.69,2.71
231549,13.79,19.2,10.64,10.49
231570,2.93,4.29,3.72,4.4
231571,5.52,9.09,4.22,5.24
231580,48.1,34.81,19.94,36.19
231600,18.96,21.26,19.94,16.4
231602,0,0,0,0.51
231605,0,0.86,1.35,0.34
231630,22.93,3.94,6.08,5.58
231633,63.09,16.12,18.59,20.29
231642,0.34,0.51,0.34,0
231646,2.93,1.71,2.53,2.03
231655,4.65,0,0,0
231659,18.79,30.01,21.46,18.27
231668,3.45,0,0.68,0.51
231670,31.55,28.46,23.49,20.8
231672,41.37,60.01,39.2,50.06
231712,19.14,12.17,12.84,18.43
231713,15.69,8.57,9.29,7.27
231717,38.62,36.86,50.52,48.88
231727,1.21,1.2,1.69,2.37
231760,0,0.34,0,0
231769,44.99,97.91,90.06,80.16
231801,17.58,10.97,8.62,9.81
231803,17.93,26.06,28.39,25.37
231805,1.03,0.86,0.34,1.18
231807,14.65,10.97,15.21,10.32
231821,28.62,0.34,0.34,3.55
231830,1.21,2.74,2.37,1.18
231832,2.41,1.2,0.68,0.85
231834,14.31,21.43,12.5,21.31
231841,6.72,3.77,2.87,6.09
231842,4.48,0.34,0,0.34
231855,7.59,6.34,3.38,5.07
231858,1.03,2.74,1.18,4.06
231861,10.69,17.32,16.22,14.38
231863,2.59,2.57,2.2,2.03
231866,0.52,4.12,2.7,1.86
231868,45.68,28.63,44.44,30.1
231871,19.82,8.92,9.46,10.82
231872,26.03,65.67,53.05,39.07
231874,44.82,68.24,63.53,65.45
231876,18.1,19.55,14.87,19.11
231887,140.15,211.59,254.96,296.64
231912,3.96,3.09,3.89,4.74
231915,47.92,95.51,118.1,75.26
231931,0,0.69,0,0.85
231932,1.38,0,0,0
231946,1.38,3.26,2.37,1.69
231986,17.93,3.09,4.22,7.27
231991,0.86,0.69,0,0.34
231997,21.2,7.2,13.01,15.39
231999,22.07,21.43,18.92,16.57
232023,21.38,43.04,58.12,47.52
232078,5.17,2.06,3.04,12.85
232086,780.24,9.6,7.43,42.79
232087,62.41,241.77,156.46,154.92
232089,2.93,3.94,2.37,3.21
232146,0.34,0,0,0
232156,0,0.69,1.18,1.01
232157,1.03,0.69,0.34,0.51
232164,46.89,77.85,94.45,84.39
232174,3.96,39.78,35.65,18.1
232187,10,19.89,20.95,23
232196,4.83,5.66,3.21,2.88
232201,3.28,1.89,0.84,1.86
232210,13.27,24.18,22.98,21.65
232223,10.52,12.17,14.36,8.96
232227,70.34,12,9.29,13.87
232232,1.21,12.69,8.45,9.13
232236,6.38,9.09,11.49,11.84
232237,19.82,8.57,9.63,10.99
232286,48.27,36.69,33.79,32.98
232288,6.9,14.4,10.98,11.67
232313,0,0,0,0.34
232314,0.52,1.2,0.68,0.68
232333,0,0,0.34,0
232334,7.41,7.2,6.59,6.26
232337,8.1,14.75,19.26,14.54
232339,1.03,0.86,3.21,0.34
232341,106.36,80.76,78.57,63.42
232345,3570.89,1.2,1.35,11.67
232370,0.69,2.91,4.56,4.74
232371,0.69,0,0.34,1.52
232430,1.03,0,0,0.34
232431,4.48,1.89,1.52,1.18
232440,22.93,39.61,19.26,29.6
232441,0,1.2,1.86,3.55
