genes,C1,C2,T1,T2
gi|161484641|ref|NM_026673.3|,45.34,67.04,84.65,78.81
gi|133892677|ref|NM_053109.2|,222.38,131.51,160.35,151.37
gi|158533994|ref|NM_001110101.1|,0,0.69,0,0.68
gi|54027903|ref|NM_032543.1|,0,0.34,0.34,0
gi|142387942|ref|NM_153585.4|,17.41,47.32,35.48,25.03
gi|22779863|ref|NM_026772.1|,37.06,9.94,7.1,16.57
gi|108773812|ref|NM_001002929.3|,16.72,25.89,26.7,25.2
gi|83921619|ref|NM_019756.2|,11.03,8.74,10.81,11.67
gi|121674796|ref|NM_008917.2|,19.31,12.17,19.43,15.05
gi|226874894|ref|NM_013625.3|,118.09,171.64,178.26,154.75
gi|118130222|ref|NM_011056.2|,0,0,0.51,0.34
gi|37595741|ref|NM_029498.2|,12.07,23.15,28.89,23.34
gi|260064028|ref|NM_001042726.2|,8.96,24.35,39.37,28.07
gi|118129961|ref|NM_138309.2|,24.82,20.58,19.26,14.04
gi|40807501|ref|NM_015805.2|,13.96,14.57,10.64,16.07
gi|146141133|ref|NM_024225.4|,153.6,184.5,147.5,178.09
gi|146135073|ref|NM_025693.3|,21.55,30.86,35.31,27.06
gi|256355150|ref|NR_015508.1|,1.72,2.74,2.53,3.72
gi|142370490|ref|NM_177777.4|,8.79,8.23,10.14,5.58
gi|142384079|ref|NM_025452.3|,3.1,2.91,2.53,3.89
gi|218749872|ref|NM_009067.4|,156.01,67.21,59.31,79.83
gi|19424143|ref|NM_026906.2|,6.38,0,0,0
gi|118130919|ref|NM_133732.2|,28.1,18,14.53,19.79
gi|165932359|ref|NM_009263.2|,1987.49,1.37,2.37,2.03
gi|30519990|ref|NM_178637.1|,0,0.34,0,0
gi|34328321|ref|NM_023805.2|,2.93,1.89,1.69,0.51
gi|133892630|ref|NM_022880.2|,79.13,24.52,14.7,24.69
gi|145275166|ref|NM_008160.5|,208.42,149.35,147.67,174.03
gi|254939616|ref|NM_021327.2|,27.58,8.92,6.08,9.98
gi|309262796|ref|XM_001472091.2|,4.48,0,0.34,0.51
gi|164664505|ref|NM_001113394.1|,0,0.34,0,0
gi|114158676|ref|NM_028190.2|,16.2,31.04,49.84,25.37
gi|89274170|ref|NM_026408.3|,0.34,13.72,13.35,10.49
gi|133892753|ref|NM_009568.2|,0.69,1.54,1.86,0.51
gi|51591904|ref|NM_033477.1|,0,0.34,0,0
gi|141801912|ref|NM_030560.3|,1.03,1.37,1.52,2.37
gi|51317396|ref|NM_133788.1|,22.93,36.18,28.22,29.09
gi|133892163|ref|NM_019959.2|,6.03,0,0,0
gi|125630310|ref|NM_178889.3|,0,0.69,0.34,0
gi|229608917|ref|NM_181405.3|,54.13,48.87,35.65,40.59
gi|51172611|ref|NM_008096.1|,0,0,0,2.37
gi|33468896|ref|NM_010295.1|,0.69,0.51,0.34,0.68
gi|309263372|ref|XR_106972.1|,2.93,0,0,0
gi|40254547|ref|NM_019572.2|,28.62,77.85,93.27,76.95
gi|110347401|ref|NM_010066.3|,40.86,47.5,47.31,50.91
gi|91598585|ref|NM_001005506.2|,22.76,55.21,40.72,34.16
gi|146134457|ref|NM_173071.2|,1.03,3.09,2.03,2.88
gi|133892199|ref|NM_183175.3|,8.62,0,0,0.34
gi|142366188|ref|NM_030888.3|,0,4.29,6.25,2.71
gi|98986315|ref|NM_026582.3|,10.34,40.12,51.36,50.91
gi|118131199|ref|NM_016915.3|,27.07,9.09,13.85,10.82
gi|80861453|ref|NM_001036684.1|,0.34,0,0,0
gi|158508720|ref|NM_007915.4|,89.3,85.9,83.81,84.39
gi|160333608|ref|NR_003967.1|,60.16,35.15,9.46,25.2
gi|164664499|ref|NM_001113391.1|,3.96,0,0,0
gi|13507637|ref|NM_030700.1|,96.54,71.33,57.45,69.68
gi|46560562|ref|NM_011365.2|,26.03,15.6,15.38,21.65
gi|34328178|ref|NM_010602.2|,0.86,1.37,0.68,1.69
gi|124486611|ref|NM_001081017.1|,0.34,0.69,1.01,0
gi|20270197|ref|NM_025897.1|,18.96,23.83,21.12,25.71
gi|83816979|ref|NM_133734.2|,14.14,15.95,13.18,12.01
gi|118130684|ref|NM_023871.3|,59.65,203.01,259.36,173.69
gi|160333431|ref|NM_026665.3|,16.03,44.24,48.83,43.63
gi|158508698|ref|NM_026979.4|,2.59,0,0,0.51
gi|118131121|ref|NM_001033209.2|,7.41,3.94,3.72,2.03
gi|31340562|ref|NM_012040.2|,0.69,0.86,0.68,0.51
gi|40254106|ref|NM_134037.2|,161.36,275.2,373.41,198.04
gi|31543484|ref|NM_053187.2|,15.34,27.26,23.32,21.65
gi|114158673|ref|NM_025881.2|,18.96,48.01,44.61,32.13
gi|27734185|ref|NM_173388.1|,11.03,3.26,3.21,11.5
gi|6678422|ref|NM_009420.1|,0.34,0,0,0
gi|124487472|ref|NM_001081426.1|,8.45,7.54,9.12,6.93
gi|148540035|ref|NM_028331.4|,1.38,0,0,0
gi|161016757|ref|NM_001100461.2|,1.03,0,0,0.51
gi|118130121|ref|NM_011552.2|,0.86,5.14,3.04,4.23
gi|260280915|ref|NM_029601.2|,24.13,22.29,15.38,17.93
gi|124486856|ref|NM_001081282.1|,18.62,30.52,27.88,38.22
gi|142369173|ref|NM_172810.2|,0.52,0,0,0
gi|118130395|ref|NM_022883.2|,8.62,0.86,0,0.85
gi|118130457|ref|NM_177686.3|,6.38,0,0,0.68
gi|148540135|ref|NM_001081059.2|,4.31,1.54,1.18,4.74
gi|256222929|ref|NM_145574.2|,1.9,7.54,7.94,8.12
gi|146134467|ref|NM_011162.4|,2.07,61.56,44.94,26.55
gi|126722833|ref|NM_011607.2|,7.59,17.32,12,64.44
gi|47059160|ref|NM_199311.1|,2.93,0,0,0
gi|118130442|ref|NM_177562.4|,20.17,19.38,18.59,20.63
gi|256355155|ref|NR_015513.1|,0,0.86,1.35,1.18
gi|142381110|ref|NM_025538.2|,9.48,20.58,18.59,20.63
gi|48928013|ref|NM_133758.2|,20.86,21.6,22.64,21.48
gi|309268608|ref|XM_003084668.1|,0.34,0,0,0
gi|34328472|ref|NM_021312.4|,42.24,44.75,90.73,40.42
gi|23956211|ref|NM_028242.1|,124.64,116.94,116.08,137.84
gi|142344970|ref|NM_026048.3|,13.96,23.15,28.72,18.94
gi|309262677|ref|XM_003085819.1|,1.55,0.51,0,1.01
gi|124487212|ref|NM_001081154.1|,1.38,2.23,1.35,1.86
gi|146149078|ref|NM_153410.4|,10.34,40.81,53.05,28.24
gi|142387311|ref|NM_025565.2|,10.34,44.24,44.44,38.22
gi|142385298|ref|NM_001033374.2|,0.34,0,0,0
gi|158508666|ref|NM_078478.4|,158.77,112.65,109.83,121.77
gi|146149194|ref|NM_053165.4|,0,0,0,2.54
gi|160333862|ref|NM_011597.3|,25.69,19.38,17.23,19.62
gi|118130134|ref|NM_152808.2|,265.83,29.49,23.82,25.37
gi|30795234|ref|NM_178309.1|,4.83,7.03,5.58,5.92
gi|15718668|ref|NM_015774.2|,79.82,4.97,4.73,6.6
gi|89337271|ref|NM_144516.2|,11.21,35.84,30.24,27.57
gi|145301554|ref|NM_133656.3|,130.67,135.97,182.65,134.11
gi|16905074|ref|NM_054039.1|,0,0,0,0.34
gi|118130166|ref|NM_031196.2|,9.48,13.03,10.14,9.3
gi|170172549|ref|NM_026435.4|,116.71,62.93,55.59,64.27
gi|142353670|ref|NM_028207.2|,1.9,0.34,0,1.18
gi|33468884|ref|NM_009786.1|,130.84,274.69,300.42,187.73
gi|29293830|ref|NM_172416.2|,37.06,8.06,9.46,9.47
gi|161621258|ref|NM_013489.2|,2.93,0.34,0.51,0.85
gi|32813438|ref|NM_177262.3|,6.55,6.34,5.58,4.23
gi|45439303|ref|NM_010414.1|,13.45,10.12,12.33,7.95
gi|133892346|ref|NM_021291.2|,0,0,0,0.68
gi|124487300|ref|NM_001081076.1|,0,0,0,0.34
gi|38372906|ref|NM_197982.2|,78.61,146.09,132.97,146.46
gi|70794812|ref|NM_021421.3|,2.41,1.54,1.86,1.52
gi|27754059|ref|NM_026442.2|,58.79,56.41,44.94,58.52
gi|146198624|ref|NM_177574.3|,0,2.4,3.55,1.69
gi|124487032|ref|NM_001081379.1|,8.1,14.57,10.14,13.36
gi|58037140|ref|NM_026937.1|,9.31,9.43,6.93,12.18
gi|169259766|ref|NM_031162.3|,0,0.86,2.2,0.51
gi|32451487|ref|NM_026101.2|,30,24.18,21.12,16.91
gi|110625808|ref|NM_027627.1|,52.75,0.69,0.34,0.34
gi|6755966|ref|NM_011696.1|,170.84,337.79,299.4,307.97
gi|19527233|ref|NM_134017.1|,6.9,10.46,12.33,12.35
gi|158711746|ref|NM_001110152.1|,84.47,173.87,183.83,171.49
gi|141802431|ref|NM_021716.3|,0,1.71,2.37,2.03
gi|146149304|ref|NM_144948.4|,56.72,44.58,39.88,39.74
gi|118130906|ref|NM_133752.2|,10.17,14.06,13.52,13.7
gi|54633299|ref|NM_177592.3|,5.52,10.12,11.66,8.12
gi|196049390|ref|NM_001098226.2|,9.31,6,5.07,4.4
gi|124486800|ref|NM_001081308.1|,6.55,2.23,2.53,7.1
gi|92110036|ref|NM_020027.2|,48.61,119.85,121.65,66.47
gi|124487002|ref|NM_001081227.1|,0.34,2.4,3.55,0.34
gi|158518430|ref|NM_018886.4|,41.55,6.52,2.53,7.44
gi|157041259|ref|NM_013511.2|,37.06,59.33,58.46,71.37
gi|50355991|ref|NM_019985.2|,4.48,22.29,30.92,25.2
gi|22208994|ref|NM_024242.2|,11.03,20.75,18.59,14.88
gi|33468898|ref|NM_010359.1|,0,0,0,0.51
gi|21617846|ref|NM_133679.1|,19.31,28.46,24.67,27.06
gi|118130235|ref|NM_011103.2|,44.65,16.98,15.04,16.4
gi|309268533|ref|XR_105008.1|,1.21,0.86,0.84,1.18
gi|112181184|ref|NM_007829.3|,20,10.63,13.52,12.52
gi|21703721|ref|NM_145358.1|,1.72,3.26,4.06,2.88
gi|148747478|ref|NM_008514.3|,0.52,2.91,2.2,1.52
gi|91064868|ref|NM_172619.2|,0.52,0.51,0,0
11298,0.34,0,0,0
11302,1.03,1.54,0.68,1.35
11303,18.62,4.46,6.59,8.63
11304,0.69,1.71,1.86,3.21
11305,29.48,11.15,8.62,12.18
11306,6.55,29.15,20.95,16.57
11307,5,3.26,4.22,2.71
11308,57.41,29.66,28.55,37.38
11350,9.48,32.24,36.16,33.99
11352,10,15.6,13.01,13.53
11363,72.06,28.63,29.23,68.66
11364,12.93,11.66,12,17.08
11370,42.06,18.35,18.75,32.81
11409,20.86,13.37,10.98,14.04
11416,27.93,9.94,13.18,12.85
11418,1.21,0.69,1.01,0.34
11419,0,2.91,2.7,6.43
11421,29.48,1.89,1.18,1.35
11423,3.79,4.29,2.2,3.38
11426,101.88,128.43,103.57,119.91
11428,7.93,6.52,7.94,10.32
11429,172.22,123.28,124.69,203.46
11430,117.74,21.43,21.97,43.3
11431,110.85,152.09,196,169.29
11432,24.13,22.63,24.33,26.55
11433,26.89,24.18,20.44,30.27
11435,0,0,0.51,0
11438,0,0,0.84,0
11440,0,0.34,2.03,0.34
11443,1.03,0.51,0.34,0.51
11444,0,2.06,2.2,0.34
11447,0,0.34,0,0
11449,0,0.69,0,0
11459,0.86,65.16,40.72,73.91
11461,1195.7,1638.69,1152.66,1201.45
11464,0.52,471.53,251.75,784.06
11465,0.34,0.51,0,0
11468,3.96,0.69,0.34,1.35
11472,0,14.75,7.94,27.4
11474,6.38,6,7.77,6.09
11475,34.65,147.97,91.75,218.34
11477,8.79,17.15,10.31,15.56
11480,15.34,34.81,44.78,28.75
11481,0.34,0.69,1.86,0.51
11482,2.59,0.51,0.34,0.34
11484,0,0,0,2.2
11486,104.81,1.54,2.03,3.72
11487,106.02,74.07,57.79,73.91
11488,1.55,3.77,3.04,4.23
11489,108.26,8.57,7.43,16.74
11490,206.18,16.46,18.08,20.63
11491,22.41,35.84,38.35,36.53
11492,21.55,2.06,0.34,2.2
11496,0.86,2.74,1.52,2.71
11497,0.34,0,0,0
11499,0,0,0.51,0.34
11501,17.93,1.03,0,0.51
11502,12.93,9.26,9.12,7.61
11504,215.66,48.18,45.79,78.64
11512,10.34,29.66,38.02,41.6
11513,23.27,1.03,1.52,1.69
11514,0,0,0,0.34
11515,5,0.51,0.34,0.51
11516,0.34,1.03,2.2,0.51
11517,3.45,5.32,6.25,1.18
11518,53.79,62.24,53.9,63.76
11519,1.03,1.03,2.2,1.01
11520,45.68,13.03,16.73,12.01
11522,3.1,0.34,0.68,3.04
11532,113.43,286.52,277.94,265.52
11534,39.99,110.42,82.12,125.66
11535,34.82,1.2,0,2.54
11536,1.21,3.43,2.2,6.09
11538,36.89,137.17,127.06,133.78
11539,2.59,3.94,2.03,6.43
11540,1.03,1.2,0.51,1.18
11541,12.07,0.86,1.35,1.52
11542,0,0.34,0,0
11544,19.65,42.35,33.96,25.88
11545,30.17,166.49,169.64,146.29
11546,10.52,41.49,29.74,30.27
11548,1.38,0.34,0,0.68
11551,1.38,1.37,2.53,0.85
11552,42.93,1.71,1.52,2.37
11553,1.38,0,0,0.34
11554,1.55,0,0,0.85
11555,2.24,0,0,0.34
11556,0.34,0.34,0.34,1.18
11564,46.2,97.91,72.99,109.08
11565,32.75,11.83,10.64,18.77
11566,37.24,46.12,33.12,40.59
11567,0.34,0,0,0
11568,6.38,1.03,0.68,1.18
11569,62.75,57.96,53.9,51.41
11576,2.07,37.72,5.24,3164.64
11593,55.34,12.86,14.36,24.02
11596,2.07,6,6.42,8.79
11600,1.38,20.06,14.53,28.41
11601,310.47,2.74,3.38,4.57
11603,105.33,165.12,161.02,156.95
11604,1.72,0.51,0.34,0
11605,9.31,6.34,6.93,5.92
11607,0,0.51,0,1.35
11609,0,0,0.84,0
11610,43.1,16.8,13.01,17.59
11611,0.52,0,0,0
11614,0,0.51,1.18,0.34
11622,5,3.26,3.38,5.07
11624,0,0.51,1.18,0.51
11625,0,0,0,1.18
11628,0,0,0.34,0
11629,7.41,0,1.18,1.01
11630,3.45,0.69,0,1.01
11632,21.03,15.26,14.53,22.66
11636,16.89,15.43,13.85,27.57
11637,234.97,236.79,254.46,232.38
11639,6.38,28.63,21.8,16.91
11640,24.48,15.09,11.49,13.87
11641,166.18,39.78,37.85,36.53
11647,18.62,3.6,2.53,1.69
11651,203.77,163.58,152.74,172.67
11652,49.3,53.33,41.4,44.31
11655,67.23,15.95,14.19,17.08
11656,35.86,105.28,71.13,129.04
11657,0,1.37,0.68,78.47
11658,1.9,20.06,24.5,42.28
11668,0,0,1.35,1.69
11669,20.86,25.89,26.87,20.29
11671,82.92,11.32,8.96,13.19
11674,439.42,477.02,435.59,372.58
11676,1.9,1.54,0.68,1.52
11684,0.34,2.4,0.51,2.54
11686,2.41,0,0,0
11687,0,0,0,0.51
11689,10.17,0,0,2.71
11690,1.72,0,0,0
11692,34.65,50.41,53.05,48.71
11694,0.52,9.6,10.64,30.78
11695,0,9.94,15.38,13.53
11699,0,0.34,0,11.84
11705,0.69,0,0.68,0
11717,236.86,1.54,1.52,3.38
11722,7.07,1.03,1.18,2.37
11727,6.9,0.34,0.68,2.54
11731,105.33,0,0,0
11732,16.2,14.57,13.52,11.16
11733,1.72,6.86,7.43,11.5
11735,2.59,43.55,40.04,43.3
11736,47.92,30.69,27.54,30.61
11737,32.41,315.5,353.3,222.57
11739,251.86,440.49,338.26,609.69
11740,179.11,434.32,388.45,427.71
11744,112.57,4.12,4.73,9.81
11745,73.09,13.2,17.74,12.52
11746,212.9,6.86,4.56,28.07
11747,158.08,41.84,35.14,39.74
11749,36.03,61.38,38.69,104.69
11750,86.88,13.72,14.7,22.83
11752,103.09,0.86,1.18,0.85
11754,0.86,0.51,0.34,0.51
11757,106.54,92.08,101.72,97.75
11761,1.21,0,0,0
11764,65.34,33.26,39.71,52.94
11765,2.41,1.2,2.37,0.68
11766,3.96,2.57,0.84,3.89
11767,102.06,120.2,134.49,106.04
11768,6.55,6,4.73,4.74
11769,77.58,17.49,17.57,35.85
11770,337.89,0,0,1.69
11771,53.27,90.7,85.33,49.55
11772,45.51,51.44,38.19,49.38
11773,143.6,140.43,133.65,121.94
11774,69.13,47.84,40.89,55.3
11775,0,8.57,3.89,5.92
11776,121.36,112.65,117.43,120.08
11777,98.09,90.36,102.9,94.37
11778,7.76,22.8,16.9,15.05
11781,5.34,8.4,6.25,3.89
11782,103.95,94.82,125.2,119.23
11783,28.27,28.29,29.23,30.27
11784,0,10.97,8.28,2.54
11785,11.72,23.49,17.23,19.11
11787,4.65,0.86,2.03,2.37
11789,22.76,25.38,19.77,19.11
11790,4.65,19.89,12.67,22.32
11792,14.65,93.28,77.22,56.32
11793,23.96,19.38,36.33,14.04
11796,9.65,3.26,1.86,5.24
11797,3.62,6.52,3.04,3.21
11798,44.99,29.83,30.75,24.52
11799,103.43,256.85,221.17,312.88
11800,72.58,77.85,69.78,76.78
11803,2.07,6.17,5.58,6.26
11804,57.41,74.93,69.11,67.14
11806,0.34,4.8,1.18,648.25
11807,0,2.23,0,103.33
11808,1.38,0,0.51,278.72
11810,1.03,0,0,0
11811,0,9.43,1.86,3.04
11812,2.59,1.03,0.34,12.85
11813,2.24,0,0,108.92
11814,0,0,0,10.32
11815,0,2.91,6.25,1.01
11816,51.03,77.5,74.01,485.72
11819,59.65,113.17,99.01,97.58
11820,129.98,82.3,117.94,68.83
11821,130.15,36.01,37.68,54.12
11826,85.68,1.03,1.35,2.71
11828,4.48,0,0.34,2.71
11829,0,1.2,0.68,2.2
11830,0,0,0,0.85
11831,0,0.34,0,0
11833,4.48,0,0,1.52
11834,19.31,49.9,35.14,32.13
11836,89.82,65.67,59.81,67.31
11837,1.03,2.23,1.18,1.01
11838,0.34,0.34,0.68,0.51
11839,0.34,0,0,0
11840,1.03,1.54,1.52,2.88
11841,132.22,83.85,95.13,68.33
11842,95.68,95.51,79.07,64.27
11843,322.2,280.17,295.18,321
11844,19.82,18,29.74,20.63
11845,302.03,219.13,232.32,198.04
11846,0.52,61.38,27.37,13.53
11847,7.59,7.03,4.22,4.4
11848,303.92,237.82,290.45,243.2
11852,92.92,32.75,38.02,34.5
11853,536.31,76.3,99.52,142.57
11854,8.96,7.72,8.11,6.76
11855,2.76,5.14,3.72,1.86
11856,2.41,3.6,2.2,7.44
11857,99.3,14.75,9.29,28.41
11859,0,1.2,0.84,0.68
11861,115.67,6.69,10.14,4.4
11863,68.96,57.61,70.12,62.91
11864,3.45,14.75,9.63,6.09
11865,8.27,3.26,4.22,4.74
11867,746.28,37.21,45.28,83.55
11870,0,0.51,0.51,0.34
11875,2.76,4.12,2.03,3.89
11876,0,1.2,0.68,0
11877,58.44,29.49,33.45,15.56
11878,0,1.37,3.55,0
11881,20,6.17,7.6,9.98
11883,34.48,9.6,7.43,12.18
11886,86.54,26.06,21.97,29.93
11889,0,0,0.34,0.85
11890,0,0.51,0.34,4.06
11891,5.17,2.23,1.18,2.54
11898,30,3.6,3.38,12.01
11899,0,8.4,6.59,3.21
11905,0.69,1.37,1.52,14.54
11906,12.76,57.27,57.62,41.94
11907,42.75,23.49,19.09,19.45
11908,28.96,45.95,31.76,36.7
11909,57.58,78.53,93.27,72.22
11910,3.28,0.69,0,0.85
11911,115.16,133.4,111.35,98.77
11920,3.45,14.57,13.52,8.46
11921,0,3.77,4.73,0.51
11922,0,1.54,1.52,1.01
11923,0,8.06,9.29,1.18
11924,0,10.12,10.31,2.03
11925,0,0,0.34,0
11927,657.15,218.96,326.1,205.99
11928,184.97,90.36,90.56,107.73
11931,19.82,6.69,4.39,12.52
11932,0.34,4.12,4.06,7.1
11933,61.03,53.15,52.55,38.9
11936,0.52,0.86,0.51,26.38
11937,0.52,3.6,1.86,1.52
11938,46.03,180.9,136.52,277.02
11944,0,0.34,0.34,0
11946,558.2,808.63,1000.94,1066.66
11947,1111.06,1219.63,1377.05,1909.06
11949,187.39,345.84,252.09,389.49
11950,232.55,318.07,296.53,328.78
11951,429.94,287.2,329.82,362.26
11958,106.71,225.3,167.78,267.72
11964,120.16,49.55,44.78,45.66
11966,66.2,49.38,54.57,60.21
11972,115.5,59.16,50.01,61.05
11973,158.6,92.08,87.52,110.44
11974,115.67,27.61,19.77,42.96
11975,18.1,23.32,14.87,16.24
11977,19.82,14.75,25.01,35.69
11980,78.61,7.72,7.6,9.13
11981,42.75,11.32,18.42,13.36
11982,8.45,0.86,1.18,0.85
11983,278.93,509.94,535.11,617.81
11984,164.12,154.49,94.28,208.87
11987,71.37,27.43,21.8,31.8
11988,3.96,3.09,1.52,2.88
11989,1.38,2.4,1.35,1.35
11990,29.65,20.75,16.9,18.1
11991,153.6,512.68,569.07,364.97
11992,52.75,43.38,41.56,52.94
11993,26.55,32.24,22.64,27.23
11997,5.17,0.34,1.01,1.86
12005,22.24,27.61,34.47,35.01
12006,17.07,38.58,38.02,21.99
12009,6.21,24.69,21.8,15.9
12010,16.2,0,1.01,1.86
12012,0,0,0,0.85
12013,19.14,13.89,20.61,14.88
12014,2.41,15.09,9.12,13.19
12015,1.38,0.51,0,0.51
12017,133.77,115.74,125.88,131.75
12018,26.38,28.46,29.74,27.23
12021,2.41,9.26,9.63,6.6
12022,1.38,45.95,40.38,108.92
12023,0,0.51,0,0.34
12028,33.27,16.12,14.02,20.97
12029,9.65,6.52,4.73,7.95
12032,0,0,1.01,0
12033,27.41,23.32,16.73,26.04
12034,277.89,521.6,444.03,479.3
12035,96.02,143.17,127.4,78.98
12036,7.59,30.18,16.56,32.47
12038,0,6,3.04,9.13
12039,17.76,33.44,28.39,28.58
12040,13.27,35.66,37.17,24.69
12041,32.24,37.72,29.74,29.09
12042,18.45,12.17,10.81,11.67
12043,5.34,31.89,32.78,29.43
12048,20.51,16.63,15.88,12.85
12050,9.83,4.12,2.03,3.89
12051,15.17,1.2,0.84,2.03
12053,7.41,0.69,0.68,0.51
12054,19.65,11.32,13.35,8.96
12055,8.79,19.2,16.56,16.91
12064,24.48,3.77,5.07,4.57
12068,67.58,26.06,25.34,22.32
12069,2.93,188.61,162.88,334.19
12070,306.68,813.09,851.57,1013.22
12075,0.86,0.69,0.68,1.18
12091,14.31,9.43,5.07,5.07
12095,18.79,28.81,24.33,24.69
12111,28.79,16.98,10.64,6.43
12116,0,0,0,2.37
12121,0,0,0.68,0
12122,9.14,9.26,5.91,12.35
12123,1.38,0.51,0.68,0.34
12124,7.07,1.89,2.87,5.07
12125,6.03,9.26,9.46,6.09
12140,1.72,96.19,137.03,10.99
12142,3.28,0.34,0.34,0
12144,15.69,58.98,75.19,61.22
12151,6.55,19.38,19.6,12.01
12153,76.37,22.12,20.28,27.74
12156,9.65,3.94,1.18,5.41
12159,6.03,23.49,15.38,28.58
12160,0,0,0,0.34
12162,36.72,69.79,111.52,119.4
12163,4.65,0,0,0.34
12164,4.31,0.69,0.34,0
12165,0,0,0,5.24
12166,17.93,46.3,41.4,45.66
12167,0,4.29,3.55,4.9
12168,0.86,1.03,1.69,0.85
12169,0,0.34,0.68,2.71
12173,0,5.32,2.2,8.46
12175,247.21,152.78,164.4,165.57
12176,151.7,56.93,32.78,46.68
12177,262.55,276.23,262.91,231.02
12180,0,15.6,12.67,37.71
12181,15.52,20.23,22.81,16.57
12182,8.1,0,0,2.88
12183,10,29.32,33.79,29.93
12189,4.31,16.46,17.91,13.02
12190,3.28,11.15,6.93,7.78
12192,36.89,91.73,70.29,58.35
12193,32.24,36.35,16.9,15.56
12211,81.02,88.82,88.2,92
12212,0,2.91,1.18,2.03
12215,348.92,183.64,179.61,167.26
12217,0.34,2.4,1.86,3.04
12223,4.31,2.74,1.18,3.38
12224,15,0.86,1.35,0
12226,120.5,103.22,113.54,95.89
12227,23.1,7.72,12.5,5.24
12229,0.52,0,0.34,0.51
12234,3.96,12.52,10.14,10.65
12235,7.07,42.35,42.24,24.86
12236,28.27,115.91,124.02,87.44
12237,62.23,130.48,152.57,140.71
12238,59.13,38.07,48.32,65.62
12257,500.62,78.36,90.9,133.1
12258,399.77,8.92,4.73,11.84
12259,5.17,0,0,0.34
12260,4.14,0.69,0.84,1.01
12261,249.1,362.13,447.58,356.85
12262,0.52,0,0,0
12263,56.72,0,0,0.68
12266,0.34,0,0,0
12267,2.59,0,0,1.18
12273,1.72,0,0.34,0
12282,42.75,51.78,35.14,25.37
12283,77.92,92.25,78.57,70.19
12286,3.45,18.35,9.29,15.73
12287,0.86,0.34,0.34,0
12288,1.55,9.77,7.94,10.65
12289,0,2.06,0.68,2.71
12291,0,5.14,6.59,3.89
12292,0,0.34,0.34,0.51
12293,0.86,6.86,4.9,3.89
12294,0.86,1.37,2.7,0.51
12295,1.72,2.74,2.37,2.2
12296,0,0.34,0.34,0.68
12297,14.14,37.89,53.73,47.35
12298,0,0,0.34,0
12299,0.69,0,0,0
12304,59.65,82.82,91.58,80.67
12305,53.27,37.72,37.34,23.17
12306,647.67,55.73,42.92,86.42
12307,0,0,0.68,0.51
12308,0,0,0.51,0
12310,9.14,1.71,3.21,2.88
12311,0,2.91,2.2,4.4
12313,489.76,376.71,290.45,343.66
12314,512.52,494.16,459.92,409.79
12315,66.72,90.02,83.97,98.09
12316,4.14,21.6,19.26,19.96
12317,1052.44,855.95,862.55,737.89
12319,0.86,1.03,1.35,0.51
12321,360.3,113.17,127.57,149.17
12322,0,2.23,2.03,4.9
12323,0.34,1.03,0.84,0.51
12325,26.72,14.57,17.57,16.91
12326,7.93,3.26,2.2,2.71
12328,9.83,14.75,16.9,13.36
12330,811.96,744.84,814.91,670.4
12331,143.95,79.9,75.19,71.03
12332,111.54,7.89,2.53,4.74
12333,23.27,1.54,2.7,2.71
12334,56.89,47.15,36.5,36.7
12335,0,0,0,0.51
12336,155.5,45.78,68.26,78.13
12337,8.1,4.63,3.21,3.38
12338,10.34,104.59,74.85,191.96
12339,16.03,12.17,9.12,16.4
12340,210.14,208.16,170.15,206.5
12343,75.33,90.7,92.93,89.97
12345,194.11,68.76,66.23,105.87
12346,0,0,0,0.51
12348,0.69,2.4,2.53,0.85
12349,293.75,43.9,32.1,51.92
12350,0,9.26,7.6,4.4
12351,213.59,10.97,10.48,46.85
12352,4.14,2.23,0.51,0.85
12354,0,0,0,2.2
12359,10.69,12.52,14.87,10.49
12361,3.96,13.55,18.08,6.76
12362,3.79,0,0,0
12363,8.96,0,0,0.34
12364,14.14,0,0,0
12366,2.76,27.26,22.3,15.39
12367,1.03,1.03,0.34,1.35
12368,17.24,36.01,34.98,31.8
12369,3.62,7.89,6.42,6.43
12370,25,12.69,10.14,20.13
12371,10,11.15,8.79,7.61
12372,0,29.83,11.49,47.69
12373,37.93,31.72,50.35,59.19
12374,0,0.34,0,0.68
12380,35.68,7.89,6.59,12.68
12385,216.18,212.96,188.73,187.05
12386,0,3.94,10.14,1.35
12387,225.83,178.67,232.32,199.9
12388,78.09,57.96,38.52,64.61
12389,44.65,23.66,16.39,45.49
12390,5.34,2.74,1.52,2.37
12391,0,1.37,1.35,4.74
12393,4.14,2.06,1.52,3.04
12394,112.05,1.37,1.01,3.89
12395,2.07,34.12,22.3,33.32
12396,3.45,3.77,3.72,4.57
12398,4.83,7.54,2.87,10.32
12399,3.62,0,0.34,0
12400,22.58,52.3,50.35,49.72
12401,0,0.69,0,31.29
12402,1.03,0.86,1.01,0
12404,0,3.09,7.6,0.85
12405,0,1.03,1.86,0
12406,185.32,393.68,497.09,583.98
12408,26.38,41.84,38.19,56.99
12409,0.52,1.2,0.84,0.34
12411,0.34,0.51,0,0.51
12412,0.34,6.52,7.94,5.58
12416,10.17,48.52,54.41,34.84
12417,1.38,8.92,11.49,7.61
12418,24.31,4.12,3.72,7.44
12419,31.38,192.56,168.46,111.62
12421,25.86,25.03,25.01,23
12424,8.27,13.89,5.74,3.38
12425,0,0.51,0,0
