Gene,c,c,d,d
16854,0.767208,1.222517,0.039294,1.511838
20706,0.268402,1.869988,1.400176,1.403979
20845,0.532432,1.22328,0.115625,1.074263
77632,0.651731,1.70447,0.999638,0.348938
69121,0.066768,1.439009,0.651714,1.116492
57444,1.066768,0.28289,0.563298,1.429858
20379,3.314696,0.993977,3.032784,0.638444
20558,2.651731,0.575638,2.32229,1.348938
20716,3.420169,0.093486,2.032784,0.946518
13529,4.939811,1.890596,2.160539,2.900054
71995,4.629229,2.937606,3.254788,2.464534
19124,1.339787,1.518719,1.777389,2.487288
56213,1.842337,1.720516,0.958754,2.286377
385643,1.651731,1.245489,0.622568,3.186881
93695,2.651731,1.093486,1.032784,1.808369
20390,5.154231,3.983873,1.459069,2.545335
22436,2.651731,1.508524,0.082693,1.275874
69761,1.651731,1.660527,2.697856,3.501392
12918,2.651731,0.923561,0.862859,0.808369
12772,3.569866,3.076439,3.307066,1.808369
18788,2.933232,2.739404,2.552179,0.361556
14473,1.670197,1.269084,1.577714,1.116492
319660,0.066768,2.076439,1.722104,1.808369
22784,0.740587,1.508524,1.552179,2.886372
110855,2.844443,0.076439,1.552179,3.097876
15957,1.481806,1.398367,1.307066,2.615724
19116,0.329803,1.076439,2.091338,3.081388
432777,0.066768,0.661401,2.596573,2.808369
20272,0.032767,2.076439,2.639642,2.445799
100041585,0.196266,1.661401,2.944496,4.030762
73010,0.17424,1.86071,2.748576,2.821666
245555,0.710625,1.841974,3.024667,2.486441
246730,0.518194,2.883794,2.137141,2.545335
622665,2.518194,0.661401,1.722104,3.393332
100043636,2.020695,2.600001,2.596573,1.682838
667213,1.807701,1.561866,1.815213,1.988942
269275,1.740587,1.813405,2.01161,0.638444
64214,1.561263,1.235638,1.160988,1.016956
104943,0.826316,0.15044,0.940861,0.499041
NR_045798,0.933232,0.728516,0.085251,0.583948
14422,0.740587,0.075564,2.063141,2.456068
30060,1.25516,0.076439,1.252618,2.030762
19073,0.300963,0.553253,0.169837,0.393332
103098,0.066768,0.076439,0.985138,0.486441
NR_046214,0.25516,0.076439,1.459069,0.808369
22712,0.211158,0.545924,1.244056,1.522967
320492,0.066768,0.076439,0.459069,1.030762
668030,1.103157,0.923561,0.137141,1.030762
55932,1.44528,0.491476,1.552179,0.960372
21789,0.803734,1.639768,0.801458,1.092162
56720,1.010185,1.286131,0.573352,0.697338
100040462,1.933232,1.661401,0.447821,0.223407
16519,0.840122,0.076439,0.914749,0.875484
105387,1.103157,0.049092,1.862859,0.338884
319336,0.125877,0.286131,0.710856,0.139163
171285,0.066768,0.730916,1.085251,0.223407
20259,0.066768,0.076439,0.137141,1.223407
242341,1.518194,1.145953,1.085251,2.059908
230822,3.409846,1.076439,0.722104,0.223407
140491,0.590344,0.813405,1.967216,1.577044
74633,0.933232,2.883794,3.722104,3.223407
246133,3.020965,2.661401,3.307066,3.223407
225825,0.418659,2.535871,2.307066,1.808369
414111,0.5262,0.883794,1.596573,1.545335
433247,0.066768,1.813405,1.359534,2.223407
67758,0.481806,2.776879,2.596573,4.030762
69729,0.518194,0.661401,1.722104,3.130297
73549,0.5262,0.398367,0.722104,1.682838
97848,0.481806,0.076439,1.137141,1.223407
329514,5.254077,0.317447,1.737328,0.42867
12873,5.45442,0.535871,0.277896,1.191631
76117,2.518194,0.950908,1.01161,1.361556
72716,5.696238,0.454951,0.400176,0.708834
12140,4.805585,1.771558,2.447821,0.946518
11687,2.066768,0.661401,0.377432,0.098521
104382,1.651731,1.076439,1.137141,0.223407
330164,1.651731,0.245489,0.815213,0.513559
18508,1.651731,0.701169,0.447821,1.776593
18423,2.651731,1.076439,0.722104,0.545335
18509,3.70622,0.883794,0.459069,0.223407
18993,4.352171,0.721927,0.307066,1.098521
240590,2.216581,2.398367,1.137141,2.127319
56847,0.914765,0.754511,1.137141,0.513559
100040294,1.289161,0.076439,0.670214,0.998986
18072,0.826316,4.645502,0.862859,0.393332
17932,0.94643,1.923935,0.137141,1.545335
226180,0.066768,1.730916,2.670214,0.416052
240690,0.933232,2.245489,2.184787,0.098521
12570,1.066768,1.883794,0.722104,0.808369
14170,0.710839,0.298831,0.125893,1.638444
18211,0.518194,0.813405,0.552179,1.361556
15228,2.125877,0.746683,0.073011,1.715193
20675,0.241855,0.338599,0.470541,0.969238
29873,1.518194,0.338599,0.277896,0.808369
100037282,1.134866,1.924436,0.014862,0.098521
17928,0.295802,0.98333,0.307066,1.454665
21869,0.026126,1.163902,1.044032,0.776593
319586,0.388696,0.841099,0.780397,1.864056
94090,0.982624,0.076439,0.014862,2.098521
20262,0.933232,0.338599,1.862859,1.191631
17172,0.543285,2.862161,2.064493,0.715193
15571,0.281155,1.781542,1.0204,0.547111
107831,0.066768,1.923561,0.377432,1.098521
13389,0.552195,1.286131,1.032784,1.361556
228858,0.597283,2.093486,1.032784,0.946518
18991,0.74484,1.286131,1.447821,0.946518
327799,1.066768,1.186595,0.862859,0.097876
330166,0.066768,2.678449,0.810391,0.444018
332221,1.973659,3.382993,1.32229,0.236025
223227,0.481806,2.508524,0.862859,0.554201
20604,1.651731,0.923561,2.862859,0.454665
18012,1.388696,0.771558,0.032784,0.223407
53626,0.651731,0.730916,1.085251,0.998986
11878,1.066768,0.661401,0.862859,2.926809
16370,0.803734,0.213942,0.097324,2.513559
18530,0.914765,0.338599,0.722104,3.389872
380768,0.066768,0.730916,0.651714,2.583948
170729,1.409846,0.923561,0.862859,1.776593
72014,0.066768,0.338599,0.862859,4.214631
110805,2.5262,0.302073,0.755944,0.477033
18504,2.388696,1.245489,0.400176,0.098521
13796,1.388696,0.560991,0.862859,0.322943
26927,2.182246,0.382993,1.32229,0.236025
12023,1.5407,0.109974,0.514935,0.464415
15223,1.651731,0.923561,0.862859,0.053482
78303,1.874123,1.123745,0.769749,0.123871
408064,1.651731,0.591012,0.030226,0.808369
20674,0.465318,0.441723,0.253649,0.044526
13631,0.651731,0.213942,0.184787,0.776593
223726,1.651731,0.186595,0.225429,0.776593
12971,1.066768,0.821681,0.050486,0.325286
235180,0.803734,0.122243,0.232093,0.03035
74137,1.028294,0.408988,0.204255,0.73798
22360,0.874123,0.883794,0.459069,0.223407
270004,1.289161,0.682553,0.737328,0.287537
56863,0.767208,0.135065,0.4154,0.156293
83395,1.339021,0.104133,0.855164,0.815693
13082,2.066768,1.014709,0.523372,0.690863
215031,0.914765,1.049092,0.447821,0.191631
319158,0.259413,0.001564,1.110786,0.217166
546726,1.803734,0.923561,1.599824,1.098521
15397,1.204534,0.133022,0.741213,0.334438
15432,2.163529,0.23398,1.051411,0.669678
15433,1.945615,0.243089,1.380412,0.069375
330369,0.173684,0.754511,1.400176,0.223407
14175,1.155624,2.171489,2.110786,1.439558
15430,0.323178,0.667722,0.179577,0.170257
15438,0.107796,1.481557,0.890339,0.237727
16917,1.194524,0.62983,0.0097,0.207227
NR_046275,0.584617,0.432575,0.277896,0.462485
15431,0.561263,1.447123,0.198542,1.4928
65100,0.710839,1.660527,0.377432,2.098521
14179,0.554562,1.674534,1.113402,1.212692
320522,0.403803,0.862161,1.216496,0.300155
320145,0.614256,1.145953,1.348286,0.257354
320590,0.782975,2.070402,0.729592,0.408861
22772,0.55296,0.637257,0.662232,0.075308
22773,0.763307,2.061065,0.074363,0.776593
76898,0.066768,0.660527,0.137141,3.916284
100037260,1.388696,1.830452,6.541675,1.361556
319352,3.066768,0.25961,1.544683,2.04338
433855,2.037622,0.788098,4.339839,0.236336
668137,3.459086,0.271484,5.255176,0.468471
12268,3.767208,1.99395,0.795745,1.361556
96875,3.72212,1.277198,1.064493,0.599715
94180,2.388696,1.508524,3.503429,0.638444
100503104,0.670197,4.508637,2.447821,0.223407
16176,0.066768,1.923561,4.981699,1.682838
214922,0.066768,0.245489,0.599824,1.988942
107766,0.933232,0.561866,1.274645,3.327744
76933,1.066768,0.661401,3.224604,1.545335
110257,0.780187,3.050599,0.959957,2.428007
626009,1.769733,5.361841,2.937832,3.030762
14468,0.066768,1.971698,6.202325,2.118666
13106,1.874123,2.661401,7.982631,2.545335
57435,0.066768,1.942577,6.588242,3.089545
18534,2.314696,1.883794,5.067879,0.223407
16433,2.767208,1.661401,2.944496,2.808369
12628,0.931839,2.398367,3.543134,2.36091
193280,0.74484,1.491476,3.075741,0.960372
69513,0.782975,1.491476,2.722104,1.338884
320440,0.941237,3.535871,3.944496,3.808369
140494,2.651731,1.076439,2.307066,3.615724
100038847,1.5407,0.076439,3.224604,3.030762
320333,1.5262,0.076439,4.137141,3.030762
623796,0.225967,0.12287,3.347852,3.205848
100043232,0.196266,1.883794,3.865062,3.030762
15220,0.933232,2.076439,3.385069,2.923847
170722,1.302465,1.864935,2.743799,3.491896
18617,0.2714,0.98333,2.529459,4.004767
70701,0.289161,2.076439,2.137141,4.393332
22445,0.066768,1.076439,1.515653,3.327744
279706,0.704198,1.474988,1.847635,1.973429
52609,0.192299,1.826461,1.963112,2.830064
230678,0.581341,2.661401,2.01161,2.886372
70696,0.058763,2.349457,1.552179,1.808369
218865,2.125662,0.754511,2.769409,3.071404
243653,1.289161,2.776879,3.459069,1.545335
17173,0.070735,3.246364,2.722104,4.393332
108811,0.236693,2.98333,3.596573,3.746969
17751,0.123352,4.246364,3.137141,4.130297
18416,0.518194,3.246364,3.137141,4.030762
16716,0.781229,3.883794,3.307066,4.130297
70291,0.914765,3.246364,3.596573,4.471334
20510,1.066768,3.89868,4.959382,5.308682
85031,0.155624,2.883794,4.892029,5.31087
11770,0.196266,1.228442,4.342256,1.753922
230828,0.125877,1.661401,2.722104,1.901479
16644,2.189571,1.269084,2.651714,4.008509
11813,4.191966,2.035797,3.688315,4.545335
27219,3.25516,1.076439,4.722104,4.746969
18399,3.726029,0.076439,3.660703,4.508809
230163,2.435732,0.754511,2.769409,4.75946
14120,2.933232,0.661401,3.596573,4.081388
72112,3.25516,0.076439,3.459069,5.31087
20730,3.020695,0.535871,1.224604,3.762566
58865,1.020695,0.076439,2.673194,3.327744
12354,0.987679,0.246364,3.580085,4.245775
12738,1.933232,0.508524,3.096499,4.419804
14261,2.080073,0.236904,2.450558,4.144373
14275,0.933232,0.398367,3.266424,4.200687
72002,1.380691,0.62898,2.552179,4.20526
268663,2.139683,0.517012,2.53924,3.644871
22349,0.32916,0.339473,2.543134,3.999511
171284,0.933232,1.076439,3.044032,4.867263
107753,1.407163,1.813405,3.944496,5.767727
22626,0.933232,1.076439,3.596573,5.649672
11936,2.688119,1.246364,3.422543,5.124274
75396,2.740587,1.739404,3.181535,4.803351
65969,2.562588,2.22328,5.239679,6.319934
93835,1.463746,2.076439,3.944496,5.030762
226564,3.575908,0.923561,2.307066,4.615724
30962,1.933232,0.145953,2.37418,4.030762
69307,1.933232,0.338599,1.892029,1.867263
12309,0.044742,1.269084,3.922243,5.678147
212070,1.684439,1.738384,5.384049,7.277669
12182,0.518194,3.246364,3.459069,4.030762
20186,1.25516,2.883794,3.459069,4.808369
19941,1.245962,4.353597,3.785266,4.204921
114644,1.032767,1.661401,3.978444,3.995996
238055,1.130927,1.447277,3.170944,4.593042
72074,2.518194,2.076439,3.459069,4.030762
66112,1.859231,0.661401,2.41016,3.828269
68279,2.392663,1.246364,2.892029,4.200687
98256,0.25516,2.398367,4.044032,4.978294
218963,0.5262,0.627822,3.781245,0.316468
16878,1.518194,0.076439,1.359534,1.361556
329502,1.103157,0.730916,0.789218,2.583948
18784,0.155624,1.445673,1.459069,1.776593
381677,0.066768,1.776879,0.862859,0.191631
15129,4.023344,3.171801,2.958171,3.708834
15493,4.103157,2.535871,2.137141,1.393332
15497,2.684411,2.719084,2.098803,2.071964
15959,1.518194,1.661401,0.722104,2.030762
12654,3.644523,2.661401,2.459069,2.223407
239759,3.25516,1.298831,0.874107,1.808369
320563,1.518194,2.175975,1.030226,0.875484
100503605,0.762804,0.825883,0.830469,1.428195
14944,0.066768,1.356547,0.670214,1.116492
171504,0.481806,0.203669,0.142967,0.457872
108115,0.984306,0.186595,1.225429,0.039628
24110,0.803734,0.408988,0.670214,1.322943
17067,0.481806,0.186595,1.862859,1.445799
14941,1.204272,1.076439,1.400176,1.708834
70129,0.066768,0.535871,0.944496,2.081388
239559,0.481806,1.076439,0.359534,2.282301
16181,2.066768,1.438134,2.184787,0.398082
100034251,2.388696,0.339473,0.599824,0.098521
244911,2.388696,0.076439,1.277896,0.030762
58185,0.651731,0.531244,0.614931,1.267801
223650,1.388696,0.164569,0.24137,1.155105
269643,1.651731,0.338599,1.447821,0.776593
12994,0.388696,1.076439,2.71559,3.030762
69065,2.388696,1.661401,0.137141,3.808369
14526,0.266655,1.339473,0.850837,2.098521
279572,0.155624,0.883794,1.359534,2.361556
14133,0.740587,0.365946,0.225429,1.946518
75541,0.596197,0.236904,0.249882,3.864056
12524,0.066768,1.398367,0.277896,0.776593
14178,2.481806,0.365946,1.137141,1.361556
16491,1.236693,1.660527,0.274645,0.098521
100039138,0.192299,0.599117,0.397896,0.756415
237890,1.155624,1.146828,0.277896,1.011058
13733,0.388696,2.076439,1.789218,0.585977
14404,1.289161,1.661401,0.499711,0.416052
170743,0.066768,1.163902,0.055504,0.454665
14544,1.259413,0.076439,0.962394,0.223407
16409,0.651731,0.006023,0.573352,0.698591
18511,0.329803,0.076439,0.400176,0.098521
12266,2.710625,0.398367,2.216368,0.459035
12879,1.941237,1.213942,1.622568,1.486441
232345,1.901345,1.305573,0.356151,1.623586
58187,2.581341,0.398367,0.944496,1.808369
78906,1.651731,1.339473,2.207531,1.486441
16149,1.803734,1.076439,0.960263,0.429858
13395,1.635052,0.134328,0.781558,0.479421
13396,1.6948,0.267515,0.925637,0.536565
213956,1.289161,0.739404,0.639642,0.338884
18510,2.038754,0.601633,1.892029,1.615724
14598,1.429338,0.145953,0.236677,1.585977
225997,2.125662,0.145953,0.789218,1.663979
14066,1.342403,0.025214,0.900701,0.841536
23945,1.21361,1.47637,1.506375,0.860837
76747,0.25516,0.535871,0.137141,1.030762
11847,2.066768,0.398367,1.307066,2.030762
320453,2.388696,0.728516,1.417249,2.223407
14348,3.314696,0.076439,1.274645,1.223407
67030,2.5262,0.076439,1.137141,1.223407
319317,1.507341,1.398367,2.224604,2.130297
100034726,2.153976,0.658474,0.775839,0.350478
11830,2.691259,0.104133,0.750118,0.7798
231724,2.182246,0.076439,1.080558,0.522967
14807,1.236693,1.473329,0.359534,0.016956
242700,1.314696,1.03337,0.57324,0.042835
319582,1.758646,0.330196,0.137141,0.477033
12977,1.361729,0.084026,0.251158,0.324207
320692,1.320525,0.338599,0.055504,0.393332
235533,1.803734,0.045552,0.175615,0.143237
231002,1.192299,0.476102,0.378149,0.156293
72351,1.09143,0.009325,0.000362,0.236025
27385,1.094249,0.298831,0.767192,1.24048
242259,1.303808,1.408988,0.007249,0.846982
228139,1.420405,0.302073,0.021664,0.692892
56708,1.259413,0.660527,0.310318,0.223407
22135,3.739194,0.586526,0.269484,0.52202
272636,3.236693,0.164569,0.684629,0.10793
320635,3.388696,0.601633,0.722104,0.393332
320910,2.020965,0.084026,0.281531,0.560442
74442,2.614256,0.029133,0.540497,1.398494
16426,0.360653,1.420393,1.99129,0.307108
11657,0.959655,0.963964,1.361822,0.718982
18670,1.781229,0.398367,0.944496,1.776593
230558,1.090773,0.91294,0.499711,1.998986
18478,0.348269,1.491476,1.01161,1.361556
13628,1.089736,1.475709,0.898982,1.300155
214112,1.518194,1.169548,1.753813,0.876129
329977,1.427996,0.491476,1.252618,0.776593
20849,1.585308,0.661401,1.944496,0.776593
109272,1.471652,1.307764,1.701042,0.052228
68802,0.435732,1.491476,1.722104,0.361556
238377,0.649439,0.883794,0.837581,0.191631
243764,0.463746,0.70447,0.737328,1.236025
268491,1.418659,0.854047,0.137141,1.583948
242248,1.933232,1.454951,0.985138,0.223407
320609,1.896706,1.62898,1.274645,1.016956
12835,0.116694,1.426538,1.101136,1.171453
14560,0.5655,0.685766,0.562671,2.174186
15360,1.933232,0.761134,0.827332,1.452896
328795,2.25516,0.507073,0.567776,1.978227
12262,1.643725,1.076439,0.070027,1.148562
12260,1.13759,0.654612,0.177219,1.466909
21387,0.918125,0.364564,0.281531,1.539094
108101,1.051413,0.046692,0.229641,1.165235
17523,0.748392,0.185336,0.301183,0.929296
19354,1.048709,0.084754,0.320207,0.818904
20375,1.55472,0.251615,0.497574,1.199805
72318,0.763307,0.301731,0.205251,1.534023
17916,1.181159,0.205961,0.83115,1.946518
545030,1.348269,0.709436,0.33679,2.250524
330096,0.261108,0.865045,0.847228,1.877477
380702,0.603083,0.529282,1.037945,1.513559
14870,1.09487,0.120958,0.919295,1.056701
232984,0.456794,0.593412,0.670214,1.905876
67874,0.418659,0.264598,0.684522,2.324081
70571,0.162714,0.673583,1.902387,1.526615
241118,0.380691,0.887035,0.978336,1.89207
16870,0.277756,1.071841,0.622367,1.049053
75404,0.151657,0.389225,0.550915,1.175143
20715,0.997362,0.376073,0.039737,0.307108
57255,1.859231,0.077889,1.040646,0.315262
110385,0.401187,0.271484,0.137141,0.322943
16841,0.456794,0.68216,0.064493,0.052228
12165,0.282566,0.456056,0.710856,1.258462
12116,0.410723,0.245489,0.037606,0.983044
18302,0.118607,0.525802,0.430748,0.895892
15458,0.207407,0.169548,0.317713,0.435556
20700,0.284704,0.042206,0.443803,0.380664
11699,0.498829,0.114282,0.371127,1.282292
75552,0.303375,0.095548,0.462911,1.420449
22370,0.160899,0.197745,0.203896,1.106983
12802,0.161501,0.492927,0.52844,0.840723
77799,0.25516,0.624001,0.103867,0.776593
75104,0.721728,0.689096,0.092341,0.864056
14676,0.876648,0.019855,0.170981,1.669678
58176,1.139683,0.171489,0.651355,1.217166
320139,1.640185,0.090458,0.234115,1.542128
75986,1.933232,0.163902,0.862859,0.606668
246086,0.066768,0.781542,0.633377,2.634574
100102,0.632672,0.270011,0.188845,0.60847
71872,0.651731,0.464129,0.385069,1.191631
225631,0.058405,0.841099,0.371607,0.571274
26424,0.166304,1.133014,0.320005,0.664118
12401,1.430565,0.76258,0.896133,1.646958
16425,0.276024,0.026429,0.186929,1.615702
268756,0.588242,0.063264,0.226146,1.803065
58223,0.119236,0.661401,0.039737,1.155105
18946,1.25516,0.231683,0.103867,2.155105
58992,0.884322,0.196733,0.823033,1.978227
16424,1.456794,0.061065,0.485065,0.348938
71753,0.085235,1.430076,1.054679,0.139163
15427,0.933232,0.454076,0.624699,2.25464
12404,0.66193,0.626636,0.417249,0.940092
15404,0.506417,1.113386,0.660366,1.878955
15425,0.276533,0.53529,0.950322,0.957165
15426,0.506417,0.338599,0.107971,0.902124
320415,0.795728,0.076439,0.167713,0.998986
15437,0.323178,0.32211,0.472912,0.386647
20689,0.012321,0.286131,0.795035,0.410465
18505,0.493947,0.433991,0.004878,0.508809
15395,0.457894,0.300871,0.755054,0.447838
15396,0.311743,0.145152,0.63757,0.113782
21384,0.787892,0.910853,1.253955,0.814152
100504616,1.840122,0.523898,0.765172,0.9339
17286,1.120859,0.871619,0.693535,0.135944
67606,0.793054,0.745233,0.524164,0.307108
13807,1.977959,1.103406,0.496684,1.080449
12424,1.462697,0.324366,0.403427,1.030762
407790,2.733525,0.478537,0.283983,0.585977
15417,0.420405,0.813937,0.901333,0.125226
18503,0.66193,0.364134,0.718469,0.352095
215001,1.128169,1.245489,1.506715,0.835487
18089,0.481806,0.974187,1.913485,1.312646
15414,0.091859,0.881333,1.61418,1.975373
