Type,Sample,Count ,Log10(Number of mutations)
LIVER,case164,13261,4.122576275
LIVER,case165,9831,3.992597696
LIVER,case166,4189,3.62211036
LIVER,case167,8735,3.941262909
LIVER,case168,7964,3.901131251
LIVER,case169,719079,5.856776606
LIVER,case170,4026,3.604873771
LIVER,case171,8762,3.942603249
LIVER,case172,12914,4.111060782
LIVER,case173,15686,4.195512211
LIVER,case174,8262,3.917085191
LIVER,case175,18066,4.256862006
LIVER,case176,25906,4.413400361
LIVER,case177,12453,4.095273988
LIVER,case178,704610,5.847948803
LIVER,case179,7211,3.857995496
LIVER,case180,729307,5.862910382
LIVER,case181,450133,5.653340853
LIVER,case182,23953,4.379359914
LIVER,case183,12468,4.095796794
LIVER,case184,5151,3.71189155
LUNG,case1,26412,4.421801289
LUNG,case2,3378,3.528659645
LUNG,case3,294206,5.468651525
LUNG,case4,3932,3.594613509
LUNG,case5,4589,3.661718058
LUNG,case6,4804,3.681602999
LUNG,case7,3238,3.510276844
LUNG,case8,363416,5.560404044
LUNG,case9,3193,3.504198919
LUNG,case10,4965,3.695919253
LUNG,case11,2412,3.382377303
LUNG,case12,3980,3.599883072
LUNG,case13,4929,3.692758818
LUNG,case14,5952,3.774662923
LUNG,case15,8140,3.910624405
LUNG,case16,10563,4.02378728
LUNG,case17,2578,3.411282913
LUNG,case18,4252,3.628593256
LUNG,case19,3135,3.496237545
LUNG,case20,3760,3.575187845
LUNG,case21,3408,3.532499586
LUNG,case22,4669,3.669223874
LUNG,case23,3212,3.506775537
LUNG,case24,3917,3.592953572
LUNG,case25,262712,5.419479911
LUNG,case26,3064,3.486288761
LUNG,case27,3297,3.518118947
LUNG,case28,3410,3.532754379
LUNG,case29,3227,3.508798965
LUNG,case30,4043,3.606703741
LUNG,case31,3118,3.493876111
LUNG,case32,3961,3.597804842
LUNG,case33,3401,3.531606632
LUNG,case34,3730,3.571708832
LUNG,case35,7394,3.868879446
LUNG,case36,3817,3.58172216
LUNG,case37,4106,3.613418945
LUNG,case38,4283,3.631748074
LUNG,case39,35978,4.556037017
LUNG,case40,3611,3.557627488
LUNG,case41,7079,3.849971912
LUNG,case42,8971,3.952840857
LUNG,case43,2783,3.444513206
LUNG,case44,4630,3.665580991
LUNG,case45,3466,3.539828558
LUNG,case46,3005,3.477844476
LUNG,case47,4154,3.618466492
LUNG,case48,21609,4.334634669
LUNG,case49,5205,3.716420734
LUNG,case50,4066,3.609167374
LUNG,case51,16856,4.226754523
LUNG,case52,2636,3.420945406
LUNG,case53,3610,3.557507202
LUNG,case54,4309,3.634376494
LUNG,case55,3000,3.477121255
LUNG,case56,3144,3.497482537
LUNG,case57,2106,3.323458367
LUNG,case58,354132,5.549165172
LUNG,case59,12148,4.084504783
LUNG,case60,2372,3.375114685
LUNG,case61,3880,3.588831726
LUNG,case62,2571,3.410102077
