a,c,b,d,p,OR,X
2,66291,78,1945016,0.690081012,0.752322414,LOC158435
3,66291,118,1945016,0.614881397,0.7459468,LOC254128
7,66291,131,1945016,0.242437656,1.567816939,LOC255130
133,66291,405,1945016,3.38E-170,9.635299654,LOC256021
1,66291,9,1945016,0.235038989,3.260063793,LOC257396
1,66291,4,1945016,0.036424607,7.335143534,LOC283335
8,66291,81,1945016,0.002629098,2.897834482,LOC283587
1,66291,67,1945016,0.39916988,0.437919017,LOC283692
1,66291,11,1945016,0.328357289,2.667324921,LOC284009
10,66291,13,1945016,3.70E-27,22.56967241,LOC284080
1,66291,1,1945016,0.000215929,29.34057414,LOC284454
17,66291,56,1945016,1.11E-21,8.906960005,LOC284751
7,66291,41,1945016,1.19E-05,5.009366316,LOC284788
1,66291,11,1945016,0.328357289,2.667324921,LOC284865
2,66291,2,1945016,1.68E-07,29.34057414,LOC284889
4,66291,11,1945016,3.98E-07,10.66929969,LOC284912
1,66291,39,1945016,0.777976073,0.752322414,LOC285033
3,66291,320,1945016,0.017178074,0.275067883,LOC285419
1,66291,273,1945016,0.006577727,0.107474631,LOC285441
2,66291,36,1945016,0.496976677,1.630031896,LOC285626
5,66291,31,1945016,0.00037094,4.732350667,LOC285627
9,66291,176,1945016,0.231993573,1.500370268,LOC285696
4,66291,39,1945016,0.02737678,3.009289655,LOC285819
10,66291,14,1945016,6.39E-26,20.95755295,LOC285847
3,66291,30,1945016,0.062235054,2.934057414,LOC286059
1,66291,69,1945016,0.381517312,0.425225712,LOC286135
2,66291,44,1945016,0.689441106,1.333662461,LOC286190
12,66291,126,1945016,0.000381245,2.794340394,LOC286467
13,66291,13,1945016,1.39E-40,29.34057414,LOC338799
6,66291,253,1945016,0.377367219,0.695823893,LOC339529
6,66291,21,1945016,3.62E-08,8.383021182,LOC339593
1,66291,15,1945016,0.50805813,1.956038276,LOC339807
2,66291,385,1945016,0.002196593,0.152418567,LOC339975
2,66291,10,1945016,0.009476839,5.868114827,LOC340073
2,66291,18,1945016,0.093086653,3.260063793,LOC344887
1,66291,27,1945016,0.93491762,1.086687931,LOC344967
3,66291,69,1945016,0.678986357,1.275677136,LOC374443
4,66291,17,1945016,5.28E-05,6.903664502,LOC375295
5,66291,11,1945016,3.78E-10,13.33662461,LOC388906
1,66291,11,1945016,0.328357289,2.667324921,LOC389641
11,66291,72,1945016,3.76E-07,4.482587715,LOC399715
5,66291,27,1945016,9.37E-05,5.433439655,LOC400620
1,66291,156,1945016,0.062018523,0.188080603,LOC400655
2,66291,33,1945016,0.422910456,1.778216614,LOC400684
1,66291,3,1945016,0.015040287,9.780191378,LOC400752
5,66291,176,1945016,0.687677937,0.833539038,LOC401052
17,66291,30,1945016,1.59E-36,16.62632534,LOC401074
4,66291,335,1945016,0.029097916,0.350335214,LOC401164
3,66291,19,1945016,0.006595019,4.632722232,LOC401177
1,66291,54,1945016,0.539312879,0.543343965,LOC440173
1,66291,60,1945016,0.468632873,0.489009569,LOC440354
8,66291,97,1945016,0.013095122,2.419841166,LOC440600
2,66291,38,1945016,0.546059107,1.544240744,LOC441242
2,66291,88,1945016,0.56831271,0.66683123,LOC493754
1,66291,1,1945016,0.000215929,29.34057414,LOC541467
4,66291,52,1945016,0.106864159,2.256967241,LOC553103
1,66291,2,1945016,0.003566767,14.67028707,LOC554174
2,66291,45,1945016,0.712566653,1.304025517,LOC642236
4,66291,503,1945016,0.001568274,0.233324645,LOC643339
1,66291,21,1945016,0.74269846,1.397170197,LOC643401
1,66291,424,1945016,0.000409038,0.069199467,LOC643542
3,66291,142,1945016,0.407929228,0.619871285,LOC643723
1,66291,13,1945016,0.420102945,2.256967241,LOC643770
4,66291,32,1945016,0.00862828,3.667571767,LOC645166
2,66291,8,1945016,0.003089066,7.335143534,LOC645249
7,66291,9,1945016,1.26E-19,22.82044655,LOC645638
27,66291,47,1945016,1.51E-57,16.85522344,LOC646329
4,66291,10,1945016,1.18E-07,11.73622965,LOC646471
4,66291,140,1945016,0.72764491,0.838302118,LOC646626
2,66291,8,1945016,0.003089066,7.335143534,LOC646719
1,66291,4,1945016,0.036424607,7.335143534,LOC646903
1,66291,96,1945016,0.211480554,0.305630981,LOC647323
4,66291,13,1945016,2.97E-06,9.027868965,LOC648987
1,66291,11,1945016,0.328357289,2.667324921,LOC654433
8,66291,172,1945016,0.388104114,1.364677867,LOC654841
1,66291,14,1945016,0.464634092,2.095755295,LOC728084
2,66291,18,1945016,0.093086653,3.260063793,LOC728175
2,66291,8,1945016,0.003089066,7.335143534,LOC728228
2,66291,5,1945016,0.000179897,11.73622965,LOC728463
19,66291,321,1945016,0.017921226,1.736669497,LOC728730
4,66291,17,1945016,5.28E-05,6.903664502,LOC728743
1,66291,2,1945016,0.003566767,14.67028707,LOC728819
1,66291,352,1945016,0.001522132,0.083353904,LOC729852
7,66291,71,1945016,0.004970379,2.892732661,LOC729970
3,66291,85,1945016,0.952580904,1.035549675,LOC729987
1,66291,7,1945016,0.144790286,4.191510591,LOC730101
1,66291,3,1945016,0.015040287,9.780191378,LOC730183
1,66291,4,1945016,0.036424607,7.335143534,LOC730668
2,66291,6,1945016,0.000584937,9.780191378,LOC731223
17,66291,149,1945016,5.40E-07,3.347582284,LOC79015
1,66291,65,1945016,0.417747589,0.451393448,LOC93432
4,66291,151,1945016,0.6179312,0.777233752,LOH12CR1
3,66291,52,1945016,0.369887878,1.692725431,LONP1
12,66291,136,1945016,0.001042221,2.588874188,LONRF1
4,66291,92,1945016,0.632745962,1.275677136,LONRF2
2,66291,57,1945016,0.967769944,1.029493829,LONRF3
1,66291,32,1945016,0.931890932,0.916892942,LOXL3
1,66291,10,1945016,0.281679905,2.934057414,LOXL4
15,66291,334,1945016,0.294423375,1.317690455,LPAR1
4,66291,131,1945016,0.828454595,0.895895393,LPCAT1
3,66291,14,1945016,0.000918753,6.287265886,LPCAT4
4,66291,146,1945016,0.665986202,0.803851346,LPGAT1
12,66291,948,1945016,0.000384715,0.371399673,LPHN2
2,66291,1128,1945016,4.29E-09,0.052022295,LPHN3
8,66291,245,1945016,0.90507298,0.958059564,LPIN1
9,66291,142,1945016,0.066691228,1.859613854,LPIN2
1,66291,51,1945016,0.579231413,0.575305375,LPO
84,66291,1298,1945016,7.05E-09,1.898773673,LPP
5,66291,6,1945016,4.81E-15,24.45047845,LPP-AS2
