GENE,ANNOTATION,z
TIMM13,MYC,1
TERT,MYC,1
TBC1D1,MYC,1
SIGIRR,MYC,1
PTK2,MYC,1
MYOM1,MYC,1
MTA1,MYC,1
LOC648691,MYC,1
"LINC00494,AX746653",MYC,1
IRX4,MYC,1
HYDIN,MYC,1
"DMBT1,C10orf120",MYC,1
CUBN,MYC,1
CNOT4,MYC,1
C11orf35,MYC,1
C11orf35,MYC,1
AK124056,MYC,1
"AK055890,SNED1",MYC,1
ABHD2,MYC,1
ABCC4,MYC,1
"5S_rRNA,TET3",MYC,1
MYOM1,NR3C1,1
"MOCS1,LINC00951",NR3C1,1
MICA,NR3C1,1
LOC648691,NR3C1,1
C11orf35,NR3C1,1
C11orf35,NR3C1,1
AK124056,NR3C1,1
ABHD2,NR3C1,1
VILL,USF2,1
TIMM13,USF2,1
TERT,USF2,1
ESAM,USF2,1
DGCR2,USF2,1
ABHD2,USF2,1
