a,c,b,d,p,OR,X
13,228441,1155,9280779,0.004007391,0.457268986,5S_rRNA
7,228441,672,9280779,0.019609372,0.423193653,A1CF
3,228441,463,9280779,0.013168858,0.263239248,A2M
13,228441,23,9280779,7.85E-40,22.9628556,A2M-AS1
4,228441,104,9280779,0.377102732,1.56256118,AAAS
27,228441,681,9280779,0.014197564,1.610745886,AACS
7,228441,209,9280779,0.420972714,1.360699209,AADAT
22,228441,149,9280779,4.06E-19,5.998557012,AAED1
2,228441,437,9280779,0.007726368,0.185934053,AAGAB
14,228441,1470,9280779,0.00024229,0.386919911,AAK1
10,228441,70,9280779,3.67E-09,5.803798668,AAMP
7,228441,162,9280779,0.13967874,1.755469967,AAR2
1,228441,187,9280779,0.093962815,0.217254496,AARS
11,228441,107,9280779,9.16E-07,4.176565396,AARS2
4,228441,445,9280779,0.036475297,0.365182838,AASDH
10,228441,154,9280779,0.001998517,2.638090303,AASDHPPT
3,228441,599,9280779,0.002281923,0.203472073,AASS
23,228441,526,9280779,0.006246657,1.776447881,AATK
13,228441,73,9280779,1.36E-14,7.234872312,AB062083
10,228441,13,9280779,7.09E-38,31.25122359,AB074162
1,228441,1,9280779,1.10E-05,40.62659067,AB209061
3,228441,3,9280779,2.65E-14,40.62659067,AB231703
11,228441,42,9280779,2.65E-18,10.64029756,AB429224
33,228441,1029,9280779,0.133511046,1.302893578,ABAT
29,228441,197,9280779,1.33E-24,5.980564109,ABCA1
33,228441,905,9280779,0.025637659,1.481411594,ABCA4
8,228441,599,9280779,0.081035467,0.542592196,ABCA5
12,228441,162,9280779,0.000108143,3.009377087,ABCA7
3,228441,868,9280779,7.30E-05,0.140414484,ABCA8
12,228441,967,9280779,0.01620974,0.504156244,ABCB10
10,228441,314,9280779,0.421292131,1.293840467,ABCB1
25,228441,572,9280779,0.004390517,1.775637704,ABCB4
15,228441,94,9280779,9.57E-15,6.482966597,ABCB6
5,228441,476,9280779,0.050944265,0.426749902,ABCB7
2,228441,223,9280779,0.13818898,0.364364042,ABCB8
6,228441,325,9280779,0.483575554,0.750029366,ABCB9
25,228441,1465,9280779,0.06782027,0.69328653,ABCC10
15,228441,178,9280779,1.11E-06,3.423589102,ABCC11
27,228441,595,9280779,0.001592727,1.843559577,ABCC1
15,228441,576,9280779,0.829349967,1.057984132,ABCC2
75,228441,502,9280779,5.02E-62,6.069709762,ABCC3
23,228441,1879,9280779,0.000679068,0.497291956,ABCC4
1,228441,744,9280779,5.28E-05,0.054605633,ABCC5
1,228441,80,9280779,0.492483746,0.507832383,ABCC6
21,228441,111,9280779,3.90E-24,7.686111749,ABCD1
73,228441,861,9280779,3.32E-27,3.444530917,ABCD3
3,228441,127,9280779,0.943831806,0.959683244,ABCD4
12,228441,252,9280779,0.022960565,1.934599556,ABCE1
8,228441,158,9280779,0.041983775,2.057042566,ABCF1
17,228441,90,9280779,8.25E-20,7.673911572,ABCF3
14,228441,1123,9280779,0.009919266,0.506475752,ABCG2
2,228441,233,9280779,0.120417127,0.3487261,ABCG5
9,228441,409,9280779,0.739336798,0.893983658,ABCG8
2,228441,140,9280779,0.439255252,0.580379867,ABHD10
51,228441,805,9280779,1.10E-11,2.57385854,ABHD12
11,228441,286,9280779,0.143008923,1.56256118,ABHD12B
14,228441,117,9280779,5.92E-10,4.861301448,ABHD13
23,228441,67,9280779,1.16E-46,13.94644157,ABHD14B
15,228441,132,9280779,6.52E-10,4.616658031,ABHD16A
10,228441,31,9280779,3.76E-20,13.10535183,ABHD16B
10,228441,77,9280779,3.06E-08,5.276180607,ABHD17A
2,228441,386,9280779,0.015213406,0.21050047,ABHD17B
68,228441,935,9280779,1.40E-19,2.95466114,ABHD2
30,228441,122,9280779,2.88E-44,9.990145248,ABHD4
11,228441,306,9280779,0.214425376,1.460432998,ABHD5
5,228441,445,9280779,0.073647973,0.456478547,ABHD6
1,228441,85,9280779,0.452832191,0.47795989,ABHD8
23,228441,988,9280779,0.791468523,0.945760714,ABI1
6,228441,958,9280779,0.000307303,0.254446288,ABI2
61,228441,1775,9280779,0.010038429,1.396181426,ABL1
10,228441,1011,9280779,0.002985955,0.401845605,ABL2
35,228441,2648,9280779,0.000204536,0.536982883,ABLIM1
45,228441,1992,9280779,0.569118577,0.917769368,ABLIM2
40,228441,1051,9280779,0.006401084,1.546207067,ABLIM3
15,228441,16571,9280779,3.30E-84,0.03677502,abParts
20,228441,1574,9280779,0.002770225,0.516220974,ABR
11,228441,36,9280779,5.31E-21,12.41368048,ABT1
55,228441,1970,9280779,0.356569185,1.134244917,ABTB2
8,228441,442,9280779,0.386925749,0.735322908,AC2
25,228441,107,9280779,2.38E-35,9.492194083,ACAA1
16,228441,299,9280779,0.001916559,2.173998163,ACAA2
21,228441,2408,9280779,7.45E-07,0.354301663,ACACA
18,228441,1541,9280779,0.001294091,0.474548107,ACACB
1,228441,410,9280779,0.004256476,0.099089246,ACAD10
3,228441,346,9280779,0.059812156,0.352253676,ACAD11
10,228441,277,9280779,0.231269733,1.466663923,ACAD9
4,228441,339,9280779,0.134885955,0.479369801,ACADM
5,228441,137,9280779,0.383923129,1.482722287,ACADS
12,228441,311,9280779,0.12334159,1.567585492,ACADSB
13,228441,31,9280779,6.41E-32,17.03695738,ACADVL
7,228441,102,9280779,0.006130218,2.78809936,ACAP1
16,228441,1964,9280779,3.61E-06,0.330970189,ACAP2
30,228441,123,9280779,6.52E-44,9.908924554,ACAP3
2,228441,202,9280779,0.184728531,0.402243472,ACAT1
4,228441,103,9280779,0.366774387,1.577731677,ACAT2
8,228441,382,9280779,0.650748066,0.850818653,ACBD3
12,228441,90,9280779,6.61E-10,5.416878756,ACBD4
15,228441,366,9280779,0.050429142,1.665024208,ACBD5
6,228441,1697,9280779,3.30E-08,0.143641452,ACBD6
2,228441,287,9280779,0.057592055,0.28311213,ACBD7
5,228441,21,9280779,2.10E-08,9.672997779,ACD
2,228441,296,9280779,0.050974722,0.274503991,ACER2
4,228441,1607,9280779,1.64E-08,0.101124059,ACER3
7,228441,88,9280779,0.001571783,3.231660622,ACHE
19,228441,270,9280779,3.63E-06,2.858908233,ACIN1
28,228441,358,9280779,4.83E-10,3.177498712,ACLY
5,228441,611,9280779,0.009931396,0.332459825,ACN9
7,228441,507,9280779,0.123441132,0.560919398,ACO1
18,228441,683,9280779,0.774823822,1.070686138,ACOT11
3,228441,310,9280779,0.095270646,0.393160555,ACOT13
5,228441,15,9280779,4.11E-11,13.54219689,ACOT2
