In_Frag
2481
58
95
37
24
1186
837
447
108
2365
3364
23
117
351
505
704
1059
114
3
43
484
1225
351
3999
59
36
1173
4948
140
185
3344
23
85
247
118
519
335
5170
257
968
3799
448
549
28
857
1034
6096
953
2372
2315
14
5080
21
199
6
384
1129
1474
31
365
0
5
363
1052
12
5
40
15
286
4
204
2789
398
467
12
131
1871
1309
4866
195
1378
128
21
9120
31
79
0
0
24
255
20
2714
703
301
20
19
392
1484
2328
372
18
495
404
316
537
1386
713
38
23
10
3
575
2
258
3
2175
382
904
5
396
82
2850
40
2665
191
33
74
5
2853
892
3
2151
38
2
5158
109
2355
494
680
655
1
1651
2
2703
433
687
171
8
11
3956
180
867
8027
39
782
48
1129
518
4
78
5684
43
466
1
2487
603
2441
2089
2215
4869
2067
16
675
411
2310
573
1
5582
19
156
2716
2171
12
9
304
9
8
94
8
186
0
468
337
89
46
563
15
492
4
1658
47
15
102
1
896
0
0
120
424
111
3628
405
140
43
1102
14
6
146
28
1989
14
14
143
1447
3
2468
110
207
1348
455
2279
11
150
1407
683
619
356
17
358
120
6092
238
5787
274
56
543
399
623
280
35
66
3
6
69
1184
895
522
5957
3
1
366
120
328
0
5003
632
5743
390
204
1585
500
2561
38
2
313
0
357
324
15
82
536
24
3014
112
25
1374
12
0
18
2603
2931
859
3
2398
72
31
9
27
90
426
452
30
3088
117
141
2974
1338
319
68
5045
505
15
163
1743
2
1312
383
2914
7
854
28
285
27
240
5912
18
6059
233
162
521
201
26
4
298
5
266
83
1013
619
1
840
10
105
1757
2
62
6886
52
9049
2029
75
11
1689
39
273
4
1158
310
553
1761
0
258
91
21
54
1484
693
153
3
5
364
5
29
165
43
2667
3499
8
219
160
13
365
387
1113
98
1367
2293
220
443
2927
138
5340
7
5145
3241
6
413
44
0
187
4487
112
1013
5
187
4
3558
1806
18
22
5
1298
1498
6056
37
102
1038
31
56
137
11
34
375
86
6
9
8
13
519
695
672
61
9
2433
79
60
2457
3269
1905
430
516
8
501
89
526
2890
4782
2696
49
329
307
1698
532
5
326
59
2343
12
60
503
1
4674
277
51
114
742
874
1
9
173
126
142
2359
324
113
1141
103
4
162
640
1520
2469
993
290
29
180
171
14
282
18
427
207
1055
814
73
19
7
4372
282
84
871
89
11
52
419
6
3541
4341
4522
1
724
28
84
353
1431
107
17
1776
244
1381
0
499
5
713
139
5052
1661
359
31
48
3187
202
1864
1421
2527
3
636
26
244
36
16
2575
1003
352
0
139
398
1317
1991
107
938
6
42
5
673
2
2186
261
4124
71
1
699
18
1
23
4
647
369
611
9
8
407
25
0
532
30
2
11
43
81
4768
67
97
528
1576
1
150
1
99
881
160
34
2397
2537
39
86
0
44
173
2741
5
24
59
26
228
60
415
162
52
3759
59
53
71
11
410
7
338
155
5007
3579
65
260
1359
111
163
327
398
1208
21
6
34
3197
36
12
404
2
690
1984
4
7898
175
585
22
1262
29
166
382
605
285
971
19
53
4
1817
